position,candidate_id,correct_source_card_id,correct_task_class,original_response,source_material,source_reference,correction_status,correction_basis
11,SRC-LOG-011,SRC-LOG-011,logic,Collisions that lose kinetic energy are not elastic collisions.,Premise 1: An elastic collision does not lose system kinetic energy; Premise 2: a collision that loses kinetic energy is not elastic.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
12,SRC-LOG-012,SRC-LOG-012,logic,Processes without light energy are not photosynthesis.,Premise 1: Photosynthesis requires light energy; Premise 2: a process without light energy is not photosynthesis.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,unchanged,unchanged positional mapping for positions 1-50
13,SRC-LOG-013,SRC-LOG-013,logic,Dry pores are not groundwater storage.,Premise 1: Groundwater occupies saturated pores or cracks; Premise 2: empty dry pores are not groundwater storage.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,unchanged,unchanged positional mapping for positions 1-50
14,SRC-LOG-014,SRC-LOG-014,logic,Low water levels are not high tide.,Premise 1: High tides are linked to tidal bulges; Premise 2: a low-water interval is not a high tide.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,unchanged,unchanged positional mapping for positions 1-50
15,SRC-LOG-015,SRC-LOG-015,logic,Features without survival functions are not adaptability.,Premise 1: Adaptations help survival in an environment; Premise 2: a feature with no survival function is not established as an adaptation.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,unchanged,unchanged positional mapping for positions 1-50
16,SRC-LOG-016,SRC-LOG-016,logic,Water vapor eventually turns into precipitation particles.,Premise 1: Water vapor condenses into droplets; Premise 2: droplets can grow into precipitation particles.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,unchanged,unchanged positional mapping for positions 1-50
17,SRC-LOG-017,SRC-LOG-017,logic,Solar energy drives the evaporation of water into the atmospheric circulation.,Premise 1: Solar energy drives evaporation; Premise 2: evaporated water enters atmospheric circulation.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,unchanged,unchanged positional mapping for positions 1-50
18,SRC-LOG-018,SRC-LOG-018,logic,The moon has a greater influence on tides than the sun.,Premise 1: Moon gravity contributes more to tides than Sun gravity at Earth; Premise 2: stronger tidal influence has greater effect in the simplified comparison.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,unchanged,unchanged positional mapping for positions 1-50
19,SRC-LOG-019,SRC-LOG-019,logic,Connected pores allow water movement.,Premise 1: Permeable material permits water movement; Premise 2: interconnected pores permit flow through an aquifer.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,unchanged,unchanged positional mapping for positions 1-50
20,SRC-LOG-020,SRC-LOG-020,logic,Net force changes speed.,Premise 1: A net force changes motion; Premise 2: acceleration describes a change in velocity.,https://openstax.org/books/physics/pages/4-1-force,unchanged,unchanged positional mapping for positions 1-50
21,SRC-LOG-021,SRC-LOG-021,logic,The momentum of a vehicle is equal to the product of its mass and velocity.,Rule: Momentum is mass multiplied by velocity; Fact: a cart has a mass and a velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
22,SRC-LOG-022,SRC-LOG-022,logic,Rising steam cools and condenses to form clouds.,Rule: Clouds form when cooled vapor condenses; Fact: rising vapor cools in the atmosphere.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,unchanged,unchanged positional mapping for positions 1-50
23,SRC-LOG-023,SRC-LOG-023,logic,Precipitation can penetrate the ground and replenish groundwater.,Rule: Groundwater recharge follows infiltration into an aquifer; Fact: precipitation enters permeable soil.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,unchanged,unchanged positional mapping for positions 1-50
24,SRC-LOG-024,SRC-LOG-024,logic,"The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.",Rule: Tides involve ocean response to lunar and solar gravity; Fact: both bodies exert gravity on Earth.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,unchanged,unchanged positional mapping for positions 1-50
25,SRC-LOG-025,SRC-LOG-025,logic,Adaptability improves for foraging or movement.,Rule: Adaptations improve survival in an environment; Fact: an animal feature improves feeding or movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,unchanged,unchanged positional mapping for positions 1-50
26,SRC-CAU-001,SRC-CAU-001,causality,Net force causes changes in the motion of an object.,Cause: a net force acts on an object; Effect/mechanism: the object’s motion changes.,https://openstax.org/books/physics/pages/4-1-force,unchanged,unchanged positional mapping for positions 1-50
27,SRC-CAU-002,SRC-CAU-002,causality,A longer duration of force action leads to greater changes in impulse and momentum.,Cause: force acts for a longer time; Effect/mechanism: impulse and momentum change become larger.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
28,SRC-CAU-003,SRC-CAU-003,causality,Elastic collisions transfer momentum between vehicles of equal mass.,Cause: two equal-mass carts collide elastically; Effect/mechanism: momentum transfers between the carts.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
29,SRC-CAU-004,SRC-CAU-004,causality,External forces cause a change in the total momentum of a system.,Cause: an external force acts on a system; Effect/mechanism: total system momentum can change.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
30,SRC-CAU-005,SRC-CAU-005,causality,Changes in velocity can change momentum.,Cause: an object’s velocity changes; Effect/mechanism: its momentum changes because momentum depends on velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
31,SRC-CAU-006,SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,Cause: organisms absorb solar energy through photosynthesis; Effect/mechanism: chemical energy is stored in carbohydrates.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,unchanged,unchanged positional mapping for positions 1-50
32,SRC-CAU-007,SRC-CAU-007,causality,Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.,Cause: photosynthesis uses water and carbon dioxide; Effect/mechanism: sugar and oxygen are produced.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,unchanged,unchanged positional mapping for positions 1-50
33,SRC-CAU-008,SRC-CAU-008,causality,Chlorophyll absorbs light for the purpose of photosynthesis.,Cause: chlorophyll absorbs light; Effect/mechanism: light energy enters the photosynthetic process.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,unchanged,unchanged positional mapping for positions 1-50
34,SRC-CAU-009,SRC-CAU-009,causality,Closing stomata reduces water loss in plants.,Cause: stomata close on hot dry days; Effect/mechanism: plant water loss is reduced.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,unchanged,unchanged positional mapping for positions 1-50
35,SRC-CAU-010,SRC-CAU-010,causality,"The pattern of feathers blends with the environment, enabling owls to hide through camouflage.",Cause: an owl has feather patterns that blend with its surroundings; Effect/mechanism: camouflage helps it remain hidden.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,unchanged,unchanged positional mapping for positions 1-50
36,SRC-CAU-011,SRC-CAU-011,causality,Sunlight heating surface water causes liquid water to evaporate.,Cause: sunlight heats surface water; Effect/mechanism: liquid water evaporates.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,unchanged,unchanged positional mapping for positions 1-50
37,SRC-CAU-012,SRC-CAU-012,causality,"Water vapor rises to cooler air, condenses to form cloud droplets.",Cause: water vapor rises into cooler air; Effect/mechanism: condensation forms cloud droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,unchanged,unchanged positional mapping for positions 1-50
38,SRC-CAU-013,SRC-CAU-013,causality,"Changes in the gravitational pull of the moon cause tidal forces, causing the ocean to bulge.",Cause: the Moon’s gravity varies across Earth; Effect/mechanism: tidal forces create ocean bulges.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,unchanged,unchanged positional mapping for positions 1-50
39,SRC-CAU-014,SRC-CAU-014,causality,Precipitation infiltration can replenish groundwater.,Cause: precipitation enters permeable soil and rock; Effect/mechanism: groundwater recharge occurs.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,unchanged,unchanged positional mapping for positions 1-50
40,SRC-CAU-015,SRC-CAU-015,causality,Extraction faster than infiltration causes the groundwater level to drop.,Cause: groundwater is pumped faster than recharge; Effect/mechanism: the water table can decline.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,unchanged,unchanged positional mapping for positions 1-50
41,SRC-CAU-016,SRC-CAU-016,causality,Warm water vapor contacting a cold container will condense into liquid droplets.,Cause: warm water vapor touches a cold bottle; Effect/mechanism: vapor condenses into droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,unchanged,unchanged positional mapping for positions 1-50
42,SRC-CAU-017,SRC-CAU-017,causality,Rainfall infiltration can allow water in the permeable ground to enter the underground.,Cause: rain falls on permeable ground; Effect/mechanism: some water infiltrates below the surface.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,unchanged,unchanged positional mapping for positions 1-50
43,SRC-CAU-018,SRC-CAU-018,causality,"Bale plates retain prey, enabling whales to filter-feed.",Cause: a whale’s baleen retains small prey while water passes; Effect/mechanism: the whale can filter-feed.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,unchanged,unchanged positional mapping for positions 1-50
44,SRC-CAU-019,SRC-CAU-019,causality,Gravity causes surface water to flow downward to lower areas.,Cause: gravity pulls water downward; Effect/mechanism: surface water can flow toward lower ground.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,unchanged,unchanged positional mapping for positions 1-50
45,SRC-CAU-020,SRC-CAU-020,causality,A long tail can improve balance.,Cause: an animal has a long balancing tail; Effect/mechanism: balance improves during climbing or movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,unchanged,unchanged positional mapping for positions 1-50
46,SRC-CAU-021,SRC-CAU-021,causality,Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.,Cause: a satellite measures precipitation from orbit; Effect/mechanism: scientists can monitor rainfall over broad areas.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,unchanged,unchanged positional mapping for positions 1-50
47,SRC-CAU-022,SRC-CAU-022,causality,Wells reaching aquifers can extract groundwater.,Cause: a well reaches a permeable aquifer; Effect/mechanism: groundwater can be pumped for use.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,unchanged,unchanged positional mapping for positions 1-50
48,SRC-CAU-023,SRC-CAU-023,causality,Cooling water vapor forms visible clouds.,Cause: an educational cloud experiment cools water vapor; Effect/mechanism: a visible cloud forms.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,unchanged,unchanged positional mapping for positions 1-50
49,SRC-CAU-024,SRC-CAU-024,causality,The speed at which a force is applied may change.,Cause: a force is applied to a moving object; Effect/mechanism: its velocity may change.,https://openstax.org/books/physics/pages/4-1-force,unchanged,unchanged positional mapping for positions 1-50
50,SRC-CAU-025,SRC-CAU-025,causality,A measuring system tracking the tide level can record high and low tides for prediction.,Cause: a measurement system tracks tidal height; Effect/mechanism: high and low water predictions can be recorded.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,unchanged,unchanged positional mapping for positions 1-50
51,SRC-DEF-001,SRC-DEF-001,definition,"The water cycle is the process of continuous movement of water between land, ocean and atmosphere in the Earth system.",Concept: water cycle; Broader category: Earth-system process; Key property/function: continual movement of water among land ocean and atmosphere.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
52,SRC-DEF-002,SRC-DEF-002,definition,Evaporation is the phase change that turns liquid water into water vapor.,Concept: evaporation; Broader category: phase change; Key property/function: liquid water becomes vapor.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
53,SRC-DEF-003,SRC-DEF-003,definition,Photosynthesis is a biological energy process that uses light energy to help synthesize carbohydrates.,Concept: photosynthesis; Broader category: biological energy process; Key property/function: light energy helps build carbohydrates.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
54,SRC-DEF-004,SRC-DEF-004,definition,Tidal force is the gravitational effect of the difference in gravity between the moon and the sun on the sea.,Concept: tidal force; Broader category: gravitational effect; Key property/function: differential lunar or solar gravity affects ocean water.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
55,SRC-DEF-005,SRC-DEF-005,definition,Groundwater is the underground water resource that fills underground pores or fissures.,Concept: groundwater; Broader category: subsurface water resource; Key property/function: water fills pores or cracks below ground.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
56,SRC-DEF-006,SRC-DEF-006,definition,Momentum is a physical quantity that is the product of mass and velocity.,Concept: momentum; Broader category: physical quantity; Key property/function: mass multiplied by velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
57,SRC-DEF-007,SRC-DEF-007,definition,Speed is a physical quantity that describes the rate of motion with direction.,Concept: velocity; Broader category: motion quantity; Key property/function: describes speed with direction.,https://openstax.org/books/physics/pages/4-1-force,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
58,SRC-DEF-008,SRC-DEF-008,definition,Conservation is the physical principle that physical quantities remain unchanged under specific conditions.,Concept: conservation; Broader category: physical principle; Key property/function: a quantity remains constant under specified conditions.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
59,SRC-DEF-009,SRC-DEF-009,definition,Force is the physical interaction that can change motion.,Concept: force; Broader category: physical interaction; Key property/function: push or pull that can change motion.,https://openstax.org/books/physics/pages/4-1-force,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
60,SRC-DEF-010,SRC-DEF-010,definition,Acceleration is the physical quantity that describes the change in velocity over time.,Concept: acceleration; Broader category: motion quantity; Key property/function: change in velocity over time.,https://openstax.org/books/physics/pages/4-1-force,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
61,SRC-DEF-011,SRC-DEF-011,definition,Well is a water extraction structure that reaches groundwater for extraction.,Concept: well; Broader category: water-access structure; Key property/function: reaches groundwater for withdrawal.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
62,SRC-DEF-012,SRC-DEF-012,definition,Cloud is an aggregation of atmospheric water droplets or ice particles containing condensation.,Concept: cloud; Broader category: atmospheric water collection; Key property/function: contains condensed droplets or ice particles.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
63,SRC-DEF-013,SRC-DEF-013,definition,Flippers are the animal body structure that helps whales turn in water.,Concept: flipper; Broader category: animal body structure; Key property/function: helps a whale steer through water.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
64,SRC-DEF-014,SRC-DEF-014,definition,Bale is the feeding structure that retains small prey while allowing water to pass through.,Concept: baleen; Broader category: feeding structure; Key property/function: retains small prey while water passes.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
65,SRC-DEF-015,SRC-DEF-015,definition,Feather camouflage is the animal adaptation that blends the animal with the surrounding environment.,Concept: feather camouflage; Broader category: animal adaptation; Key property/function: blends an animal with its surroundings.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
66,SRC-DEF-016,SRC-DEF-016,definition,Satellite precipitation sensor is a remote sensing instrument that measures precipitation information from orbit.,Concept: satellite precipitation sensor; Broader category: remote-observation instrument; Key property/function: measures rainfall-related information from orbit.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
67,SRC-DEF-017,SRC-DEF-017,definition,Well pump is a water transportation device that lifts groundwater to the surface.,Concept: well pump; Broader category: water-moving device; Key property/function: lifts groundwater to the surface.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
68,SRC-DEF-018,SRC-DEF-018,definition,Tide gauge is an environmental measurement instrument that records changes in water level.,Concept: tide gauge; Broader category: environmental measuring instrument; Key property/function: records changes in water level.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
69,SRC-DEF-019,SRC-DEF-019,definition,Chlorophyll sensor is a light-sensitive measuring tool that detects or studies light absorption.,Concept: chlorophyll sensor; Broader category: light-sensitive measurement tool; Key property/function: detects or studies light absorption.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
70,SRC-DEF-020,SRC-DEF-020,definition,Filter surface is a separation mechanism that allows water to pass through and retains particles.,Concept: filtration surface; Broader category: separation mechanism; Key property/function: lets water pass while retaining particles.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
71,SRC-DEF-021,SRC-DEF-021,definition,Adaptability is the biological characteristic that helps organisms survive in their environment.,Concept: adaptation; Broader category: biological feature; Key property/function: helps an organism survive in an environment.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
72,SRC-DEF-022,SRC-DEF-022,definition,Immune system is the body defense system that detects and helps remove harmful substances.,Concept: immune system; Broader category: body defense system; Key property/function: detects and helps eliminate harmful agents.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
73,SRC-DEF-023,SRC-DEF-023,definition,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,Concept: aquifer; Broader category: water-bearing geologic formation; Key property/function: stores and transmits usable groundwater.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
74,SRC-DEF-024,SRC-DEF-024,definition,Precipitation is the water cycle transmission of water falling from the atmosphere to the surface.,Concept: precipitation; Broader category: water-cycle transfer; Key property/function: water falls from atmosphere to Earth’s surface.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
75,SRC-DEF-025,SRC-DEF-025,definition,Chloroplast is the cellular organelle of plants that contains the photosynthesis mechanism.,Concept: chloroplast; Broader category: plant-cell organelle; Key property/function: contains the machinery for photosynthesis.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
76,SRC-ANA-001,SRC-ANA-001,analogy,"The fin-like limbs of whales can help them turn in water, just as human arms can assist in controlling body movements.",Whale flippers -> steer through water; Human arms -> steer body movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
77,SRC-ANA-002,SRC-ANA-002,analogy,"The well pump can lift groundwater, while the irrigation pump delivers water to plants; both are transporting water.",Well pump -> lifts groundwater; Irrigation pump -> moves water for plants.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
78,SRC-ANA-003,SRC-ANA-003,analogy,"Satellite sensors can observe rainfall from the sky, and the tide gauge records water levels at the shore; both are monitoring water.",Satellite sensor -> observes precipitation; Tide gauge -> records water level.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
79,SRC-ANA-004,SRC-ANA-004,analogy,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",Chlorophyll -> absorbs light; Solar panel -> absorbs sunlight for energy conversion.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
80,SRC-ANA-005,SRC-ANA-005,analogy,"Microscopes make tiny structures clearer, while telescopes bring distant objects closer; both expand vision.",Microscope -> magnifies small structures; Telescope -> magnifies distant objects.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
81,SRC-ANA-006,SRC-ANA-006,analogy,"Chloroplasts are part of plant cells, and leaves are part of the plant as a whole; both belong to the composition of plants.",Chloroplast -> part of -> a photosynthetic plant cell; Leaf -> part of -> a plant.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
82,SRC-ANA-007,SRC-ANA-007,analogy,"Water droplets gather to form clouds, and clouds participate in the water cycle; one layer contains another.",Water droplet -> part of -> a cloud; Cloud -> part of -> the water cycle.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
83,SRC-ANA-008,SRC-ANA-008,analogy,"The water level belongs to the aquifer system, and the aquifer belongs to the groundwater storage system.",Water table -> part of -> an aquifer system; Aquifer -> part of -> groundwater storage.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
84,SRC-ANA-009,SRC-ANA-009,analogy,"Tidal bulges are manifestations of the tidal phenomenon, and the ocean is part of the Earth system.",Tidal bulge -> part of -> a tide pattern; Ocean -> part of -> the Earth system.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
85,SRC-ANA-010,SRC-ANA-010,analogy,"Fin-like limbs are long on whales, and wings are long on owls; both are animal limbs.",Flipper -> part of -> a whale; Wing -> part of -> an owl.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
86,SRC-ANA-011,SRC-ANA-011,analogy,"Permeable rocks allow groundwater to flow, and porous soil allows rainwater to infiltrate; both have permeability.",Permeable rock -> supports -> groundwater movement; Porous soil -> supports -> infiltration.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
87,SRC-ANA-012,SRC-ANA-012,analogy,"Chloroplasts are responsible for photosynthesis, and mesophyll is responsible for gas exchange; each performs its own function to support the leaf's function.",Chloroplast -> supports -> photosynthesis; Mesophyll -> supports -> leaf gas exchange.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
88,SRC-ANA-013,SRC-ANA-013,analogy,"The gravitational pull of the moon mainly causes tidal bulges, while the gravitational pull of the sun enhances or weakens it.",Moon gravity -> supports -> tidal bulges; Sun gravity -> supports -> additional tidal effects.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
89,SRC-ANA-014,SRC-ANA-014,analogy,"When the net external force is zero, momentum is conserved, and an isolated system ensures the total momentum remains unchanged; the conditions are equivalent.",Net external force zero -> supports -> momentum conservation; Isolated system -> supports -> constant total momentum.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
90,SRC-ANA-015,SRC-ANA-015,analogy,"Whale whiskers act like sieves to retain small prey, and filtration on the surface can also trap particles while allowing water to pass through.",Whale baleen -> supports -> prey retention; Filter surface -> supports -> particle separation.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
91,SRC-ANA-016,SRC-ANA-016,analogy,"The aquifer contains groundwater, and clouds contain condensed water droplets; both are containers of water.",Aquifer -> contains -> groundwater; Cloud -> contains -> condensed water droplets.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,block_order_repaired,confirmed Word/source-card block-order mismatch from Task 058
