candidate_id,raw_response,normalized_response,normalization_status,semantic_guard,normalization_notes
GAP-ANA-005,"A thermostat regulates temperature, and a traffic signal regulates movement.","A thermostat regulates temperature, and a traffic signal regulates movement.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-006,"A pump moves water, and a conveyor moves packages.","A pump moves water, and a conveyor moves packages.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-007,"A folder stores files, and a shelf stores books.","A folder stores files, and a shelf stores books.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-008,"A recipe guides cooking, and an algorithm guides computation.","A recipe guides cooking, and an algorithm guides computation.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-009,"A bridge connects two banks, and a link connects two webpages.","A bridge connects two banks, and a link connects two webpages.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-010,"A plant stores light energy in carbohydrates, and a battery stores electrical energy for later use.","A plant stores light energy in carbohydrates, and a battery stores electrical energy for later use.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-011,"A seed protects an embryo, and a case protects a delicate instrument.","A seed protects an embryo, and a case protects a delicate instrument.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-012,"Pore spaces hold groundwater, and a reservoir holds surface water.","Pore spaces hold groundwater, and a reservoir holds surface water.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-013,"An immune barrier blocks harmful agents, and a fence blocks unwanted entry.","An immune barrier blocks harmful agents, and a fence blocks unwanted entry.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-014,"A force changes motion, and heat changes the state of water.","A force changes motion, and heat changes the state of water.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-015,"Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.","Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-016,"A river carries water downhill, and a conveyor carries goods forward.","A river carries water downhill, and a conveyor carries goods forward.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-017,"A well pump lifts groundwater, and a heart pumps blood through vessels.","A well pump lifts groundwater, and a heart pumps blood through vessels.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-018,"A food web links feeding relationships, and a transit map links travel routes.","A food web links feeding relationships, and a transit map links travel routes.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-019,"A macrophage removes foreign material, and a filter removes particles from water.","A macrophage removes foreign material, and a filter removes particles from water.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-020,"A cloud stores condensed water, and a tank stores liquid water.","A cloud stores condensed water, and a tank stores liquid water.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-021,"A camera records light, and a thermometer records temperature.","A camera records light, and a thermometer records temperature.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-022,"A root anchors a plant, and an anchor holds a boat.","A root anchors a plant, and an anchor holds a boat.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-023,"Friction slows a wheel, and a brake slows a bicycle.","Friction slows a wheel, and a brake slows a bicycle.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-024,"A thermostat regulates room temperature, and a metronome regulates timing.","A thermostat regulates room temperature, and a metronome regulates timing.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-025,"A sieve lets water pass while retaining solids, and a firewall lets approved data pass while blocking threats.","A sieve lets water pass while retaining solids, and a firewall lets approved data pass while blocking threats.",PASS,UNCHANGED,No surface normalization required.
GAP-ANA-026,"An ecosystem transfers energy among organisms, and a circuit transfers energy among components.","An ecosystem transfers energy among organisms, and a circuit transfers energy among components.",PASS,UNCHANGED,No surface normalization required.
GAP-DEF-001,A queue is an ordered line of people or tasks waiting for service.,A queue is an ordered line of people or tasks waiting for service.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-002,A compass is a tool that indicates direction.,A compass is a tool that indicates direction.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-003,A fraction represents part of a whole.,A fraction represents part of a whole.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-004,A polygon is a closed shape made of straight sides.,A polygon is a closed shape made of straight sides.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-005,A password is secret text used to verify access.,A password is secret text used to verify access.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-006,A habitat is the place where an organism lives.,A habitat is the place where an organism lives.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-007,A schedule is a plan that assigns times to activities.,A schedule is a plan that assigns times to activities.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-008,A lever is a rigid bar that turns around a pivot.,A lever is a rigid bar that turns around a pivot.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-009,A variable is a quantity that can change.,A variable is a quantity that can change.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-010,A map is a representation of places and their relationships.,A map is a representation of places and their relationships.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-011,Probability is a measure of how likely an event is.,Probability is a measure of how likely an event is.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-012,A force is an interaction that can change motion.,A force is an interaction that can change motion.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-013,Inertia is resistance to a change in motion.,Inertia is resistance to a change in motion.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-014,Photosynthesis is a process that converts light energy into chemical energy.,Photosynthesis is a process that converts light energy into chemical energy.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-015,An ecosystem includes organisms and their physical environment.,An ecosystem includes organisms and their physical environment.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-016,A food web represents feeding relationships in an ecosystem.,A food web represents feeding relationships in an ecosystem.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-017,An aquifer is a water-bearing formation that can store and transmit groundwater.,An aquifer is a water-bearing formation that can store and transmit groundwater.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-018,Groundwater is water stored below the land surface.,Groundwater is water stored below the land surface.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-019,"The immune system is a group of cells, tissues, and organs that protects the body.","The immune system is a group of cells, tissues, and organs that protects the body.",PASS,UNCHANGED,No surface normalization required.
GAP-DEF-020,A macrophage is an immune cell that engulfs particles.,A macrophage is an immune cell that engulfs particles.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-021,A season is a recurring part of a year with characteristic conditions.,A season is a recurring part of a year with characteristic conditions.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-022,Climate is the long-term pattern of weather in a region.,Climate is the long-term pattern of weather in a region.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-023,An ocean current is directed movement of seawater.,An ocean current is directed movement of seawater.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-024,A cloud is a visible collection of water droplets or ice crystals.,A cloud is a visible collection of water droplets or ice crystals.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-025,Evaporation is the change of liquid water into vapor.,Evaporation is the change of liquid water into vapor.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-026,Condensation is the change of vapor into a liquid.,Condensation is the change of vapor into a liquid.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-027,A watershed is land that drains to a common body of water.,A watershed is land that drains to a common body of water.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-028,A chloroplast is a plant-cell organelle where photosynthesis occurs.,A chloroplast is a plant-cell organelle where photosynthesis occurs.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-029,A vaccine is a preparation that trains an immune response to a target.,A vaccine is a preparation that trains an immune response to a target.,PASS,UNCHANGED,No surface normalization required.
GAP-DEF-030,An algorithm is a step-by-step procedure for completing a task.,An algorithm is a step-by-step procedure for completing a task.,PASS,UNCHANGED,No surface normalization required.
