example_id,response_text,intended_task_class,self_contained,natural_language_quality,lexical_giveaway,task_ambiguity,notes
exp019_definition_028,The nearby lock refers to an object used for a purpose.,definition,,,,,
exp019_analogy_030,Nearby ruler parallels cup.,analogy,,,,,
exp019_definition_083,A shared signal is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_definition_013,The routine panel refers to an object used for a purpose.,definition,,,,,
exp019_definition_070,A ordinary panel is an object with a stated practical role.,definition,,,,,
exp019_causality_177,Practical tray triggers sprout.,causality,,,,,
exp019_analogy_091,"Like the coat, the shared thermos connects condition and outcome.",analogy,,,,,
exp019_definition_097,A familiar gauge is an object with a stated practical role.,definition,,,,,
exp019_logic_130,"If the simple calendar condition holds, changes follows under the rule.",logic,,,,,
exp019_analogy_007,The routine signal relation matches the bell relation in structure.,analogy,,,,,
exp019_definition_112,A familiar pulley is an object with a stated practical role.,definition,,,,,
exp019_definition_124,A simple compass is an object with a stated practical role.,definition,,,,,
exp019_logic_063,Ordinary tray condition entails sprout.,logic,,,,,
exp019_analogy_144,Daily ruler parallels cup.,analogy,,,,,
exp019_definition_072,A ordinary thermos has purpose.,definition,,,,,
exp019_causality_029,A change in the nearby compass condition leads to direction through the system's ordinary mechanism.,causality,,,,,
exp019_analogy_034,The nearby thermos relation matches the coat relation in structure.,analogy,,,,,
exp019_analogy_031,"Like the dispenser, the nearby can connects condition and outcome.",analogy,,,,,
exp019_causality_122,A change in the simple refrigerator condition leads to heat through the system's ordinary mechanism.,causality,,,,,
exp019_definition_059,A ordinary gauge is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_definition_030,A nearby ruler has purpose.,definition,,,,,
exp019_definition_184,A practical panel is an object with a stated practical role.,definition,,,,,
exp019_logic_179,"When the practical refrigerator condition holds, the stated rule requires heat as its conclusion.",logic,,,,,
exp019_definition_130,A simple calendar is an object with a stated practical role.,definition,,,,,
exp019_analogy_160,The local refrigerator relation matches the bottle relation in structure.,analogy,,,,,
exp019_causality_074,A change in the ordinary pulley condition leads to rises through the system's ordinary mechanism.,causality,,,,,
exp019_analogy_059,The ordinary gauge relation corresponds to the gauge relation because both connect a condition with an outcome.,analogy,,,,,
exp019_analogy_163,"Like the cup, the local ruler connects condition and outcome.",analogy,,,,,
exp019_analogy_148,"Like the coat, the daily thermos connects condition and outcome.",analogy,,,,,
exp019_causality_125,A change in the simple ruler condition leads to read through the system's ordinary mechanism.,causality,,,,,
exp019_definition_140,A daily signal is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_causality_049,The observed ruler condition produces read through a simple mechanism.,causality,,,,,
exp019_logic_152,"When the daily cube condition holds, the stated rule requires melts as its conclusion.",logic,,,,,
exp019_logic_050,"When the observed can condition holds, the stated rule requires moist as its conclusion.",logic,,,,,
exp019_analogy_029,The nearby compass relation corresponds to the vane relation because both connect a condition with an outcome.,analogy,,,,,
exp019_analogy_004,The routine thermometer relation matches the speedometer relation in structure.,analogy,,,,,
exp019_logic_113,"When the familiar magnet condition holds, the stated rule requires closer as its conclusion.",logic,,,,,
exp019_definition_153,Local timer denotes purpose.,definition,,,,,
exp019_causality_044,A change in the observed tray condition leads to sprout through the system's ordinary mechanism.,causality,,,,,
exp019_causality_133,Melts follows when the simple cube mechanism activates.,causality,,,,,
exp019_definition_044,A observed tray is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_logic_017,"When the routine pulley condition holds, the stated rule requires rises as its conclusion.",logic,,,,,
exp019_analogy_154,The local gauge relation matches the gauge relation in structure.,analogy,,,,,
exp019_causality_140,A change in the daily signal condition leads to proceed through the system's ordinary mechanism.,causality,,,,,
exp019_logic_167,"When the local thermos condition holds, the stated rule requires slowly as its conclusion.",logic,,,,,
exp019_causality_166,Removed follows when the local sharpener mechanism activates.,causality,,,,,
exp019_analogy_186,Practical thermos mirrors coat's relation.,analogy,,,,,
exp019_definition_002,A routine gauge is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_causality_084,Shared refrigerator triggers heat.,causality,,,,,
