position,word_response,assigned_source_card_id,assigned_task_class,source_material,source_reference,current_match,swapped_source_card_id,swapped_task_class,swapped_source_material,swapped_source_reference,swapped_match
12,Processes without light energy are not photosynthesis.,SRC-LOG-012,logic,Premise 1: Photosynthesis requires light energy; Premise 2: a process without light energy is not photosynthesis.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,STRONG_MATCH,SRC-LOG-012,logic,Premise 1: Photosynthesis requires light energy; Premise 2: a process without light energy is not photosynthesis.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,STRONG_MATCH
13,Dry pores are not groundwater storage.,SRC-LOG-013,logic,Premise 1: Groundwater occupies saturated pores or cracks; Premise 2: empty dry pores are not groundwater storage.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH,SRC-LOG-013,logic,Premise 1: Groundwater occupies saturated pores or cracks; Premise 2: empty dry pores are not groundwater storage.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
14,Low water levels are not high tide.,SRC-LOG-014,logic,Premise 1: High tides are linked to tidal bulges; Premise 2: a low-water interval is not a high tide.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,STRONG_MATCH,SRC-LOG-014,logic,Premise 1: High tides are linked to tidal bulges; Premise 2: a low-water interval is not a high tide.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,STRONG_MATCH
15,Features without survival functions are not adaptability.,SRC-LOG-015,logic,Premise 1: Adaptations help survival in an environment; Premise 2: a feature with no survival function is not established as an adaptation.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH,SRC-LOG-015,logic,Premise 1: Adaptations help survival in an environment; Premise 2: a feature with no survival function is not established as an adaptation.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
16,Water vapor eventually turns into precipitation particles.,SRC-LOG-016,logic,Premise 1: Water vapor condenses into droplets; Premise 2: droplets can grow into precipitation particles.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH,SRC-LOG-016,logic,Premise 1: Water vapor condenses into droplets; Premise 2: droplets can grow into precipitation particles.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
17,Solar energy drives the evaporation of water into the atmospheric circulation.,SRC-LOG-017,logic,Premise 1: Solar energy drives evaporation; Premise 2: evaporated water enters atmospheric circulation.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH,SRC-LOG-017,logic,Premise 1: Solar energy drives evaporation; Premise 2: evaporated water enters atmospheric circulation.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
18,The moon has a greater influence on tides than the sun.,SRC-LOG-018,logic,Premise 1: Moon gravity contributes more to tides than Sun gravity at Earth; Premise 2: stronger tidal influence has greater effect in the simplified comparison.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH,SRC-LOG-018,logic,Premise 1: Moon gravity contributes more to tides than Sun gravity at Earth; Premise 2: stronger tidal influence has greater effect in the simplified comparison.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
19,Connected pores allow water movement.,SRC-LOG-019,logic,Premise 1: Permeable material permits water movement; Premise 2: interconnected pores permit flow through an aquifer.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH,SRC-LOG-019,logic,Premise 1: Permeable material permits water movement; Premise 2: interconnected pores permit flow through an aquifer.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
20,Net force changes speed.,SRC-LOG-020,logic,Premise 1: A net force changes motion; Premise 2: acceleration describes a change in velocity.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH,SRC-LOG-020,logic,Premise 1: A net force changes motion; Premise 2: acceleration describes a change in velocity.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
21,The momentum of a vehicle is equal to the product of its mass and velocity.,SRC-LOG-021,logic,Rule: Momentum is mass multiplied by velocity; Fact: a cart has a mass and a velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-LOG-021,logic,Rule: Momentum is mass multiplied by velocity; Fact: a cart has a mass and a velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
22,Rising steam cools and condenses to form clouds.,SRC-LOG-022,logic,Rule: Clouds form when cooled vapor condenses; Fact: rising vapor cools in the atmosphere.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH,SRC-LOG-022,logic,Rule: Clouds form when cooled vapor condenses; Fact: rising vapor cools in the atmosphere.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
23,Precipitation can penetrate the ground and replenish groundwater.,SRC-LOG-023,logic,Rule: Groundwater recharge follows infiltration into an aquifer; Fact: precipitation enters permeable soil.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH,SRC-LOG-023,logic,Rule: Groundwater recharge follows infiltration into an aquifer; Fact: precipitation enters permeable soil.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH
24,"The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.",SRC-LOG-024,logic,Rule: Tides involve ocean response to lunar and solar gravity; Fact: both bodies exert gravity on Earth.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH,SRC-LOG-024,logic,Rule: Tides involve ocean response to lunar and solar gravity; Fact: both bodies exert gravity on Earth.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
25,Adaptability improves for foraging or movement.,SRC-LOG-025,logic,Rule: Adaptations improve survival in an environment; Fact: an animal feature improves feeding or movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,PARTIAL_MATCH,SRC-LOG-025,logic,Rule: Adaptations improve survival in an environment; Fact: an animal feature improves feeding or movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,PARTIAL_MATCH
26,Net force causes changes in the motion of an object.,SRC-CAU-001,causality,Cause: a net force acts on an object; Effect/mechanism: the object’s motion changes.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH,SRC-CAU-001,causality,Cause: a net force acts on an object; Effect/mechanism: the object’s motion changes.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
27,A longer duration of force action leads to greater changes in impulse and momentum.,SRC-CAU-002,causality,Cause: force acts for a longer time; Effect/mechanism: impulse and momentum change become larger.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-CAU-002,causality,Cause: force acts for a longer time; Effect/mechanism: impulse and momentum change become larger.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
28,Elastic collisions transfer momentum between vehicles of equal mass.,SRC-CAU-003,causality,Cause: two equal-mass carts collide elastically; Effect/mechanism: momentum transfers between the carts.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-CAU-003,causality,Cause: two equal-mass carts collide elastically; Effect/mechanism: momentum transfers between the carts.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
29,External forces cause a change in the total momentum of a system.,SRC-CAU-004,causality,Cause: an external force acts on a system; Effect/mechanism: total system momentum can change.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-CAU-004,causality,Cause: an external force acts on a system; Effect/mechanism: total system momentum can change.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
30,Changes in velocity can change momentum.,SRC-CAU-005,causality,Cause: an object’s velocity changes; Effect/mechanism: its momentum changes because momentum depends on velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-CAU-005,causality,Cause: an object’s velocity changes; Effect/mechanism: its momentum changes because momentum depends on velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
31,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,SRC-CAU-006,causality,Cause: organisms absorb solar energy through photosynthesis; Effect/mechanism: chemical energy is stored in carbohydrates.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH,SRC-CAU-006,causality,Cause: organisms absorb solar energy through photosynthesis; Effect/mechanism: chemical energy is stored in carbohydrates.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
32,Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.,SRC-CAU-007,causality,Cause: photosynthesis uses water and carbon dioxide; Effect/mechanism: sugar and oxygen are produced.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH,SRC-CAU-007,causality,Cause: photosynthesis uses water and carbon dioxide; Effect/mechanism: sugar and oxygen are produced.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
33,Chlorophyll absorbs light for the purpose of photosynthesis.,SRC-CAU-008,causality,Cause: chlorophyll absorbs light; Effect/mechanism: light energy enters the photosynthetic process.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,STRONG_MATCH,SRC-CAU-008,causality,Cause: chlorophyll absorbs light; Effect/mechanism: light energy enters the photosynthetic process.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,STRONG_MATCH
34,Closing stomata reduces water loss in plants.,SRC-CAU-009,causality,Cause: stomata close on hot dry days; Effect/mechanism: plant water loss is reduced.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH,SRC-CAU-009,causality,Cause: stomata close on hot dry days; Effect/mechanism: plant water loss is reduced.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
35,"The pattern of feathers blends with the environment, enabling owls to hide through camouflage.",SRC-CAU-010,causality,Cause: an owl has feather patterns that blend with its surroundings; Effect/mechanism: camouflage helps it remain hidden.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH,SRC-CAU-010,causality,Cause: an owl has feather patterns that blend with its surroundings; Effect/mechanism: camouflage helps it remain hidden.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
36,Sunlight heating surface water causes liquid water to evaporate.,SRC-CAU-011,causality,Cause: sunlight heats surface water; Effect/mechanism: liquid water evaporates.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH,SRC-CAU-011,causality,Cause: sunlight heats surface water; Effect/mechanism: liquid water evaporates.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
37,"Water vapor rises to cooler air, condenses to form cloud droplets.",SRC-CAU-012,causality,Cause: water vapor rises into cooler air; Effect/mechanism: condensation forms cloud droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH,SRC-CAU-012,causality,Cause: water vapor rises into cooler air; Effect/mechanism: condensation forms cloud droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
38,"Changes in the gravitational pull of the moon cause tidal forces, causing the ocean to bulge.",SRC-CAU-013,causality,Cause: the Moon’s gravity varies across Earth; Effect/mechanism: tidal forces create ocean bulges.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH,SRC-CAU-013,causality,Cause: the Moon’s gravity varies across Earth; Effect/mechanism: tidal forces create ocean bulges.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
39,Precipitation infiltration can replenish groundwater.,SRC-CAU-014,causality,Cause: precipitation enters permeable soil and rock; Effect/mechanism: groundwater recharge occurs.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH,SRC-CAU-014,causality,Cause: precipitation enters permeable soil and rock; Effect/mechanism: groundwater recharge occurs.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH
40,Extraction faster than infiltration causes the groundwater level to drop.,SRC-CAU-015,causality,Cause: groundwater is pumped faster than recharge; Effect/mechanism: the water table can decline.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH,SRC-CAU-015,causality,Cause: groundwater is pumped faster than recharge; Effect/mechanism: the water table can decline.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
41,Warm water vapor contacting a cold container will condense into liquid droplets.,SRC-CAU-016,causality,Cause: warm water vapor touches a cold bottle; Effect/mechanism: vapor condenses into droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH,SRC-CAU-016,causality,Cause: warm water vapor touches a cold bottle; Effect/mechanism: vapor condenses into droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
42,Rainfall infiltration can allow water in the permeable ground to enter the underground.,SRC-CAU-017,causality,Cause: rain falls on permeable ground; Effect/mechanism: some water infiltrates below the surface.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH,SRC-CAU-017,causality,Cause: rain falls on permeable ground; Effect/mechanism: some water infiltrates below the surface.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH
43,"Bale plates retain prey, enabling whales to filter-feed.",SRC-CAU-018,causality,Cause: a whale’s baleen retains small prey while water passes; Effect/mechanism: the whale can filter-feed.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH,SRC-CAU-018,causality,Cause: a whale’s baleen retains small prey while water passes; Effect/mechanism: the whale can filter-feed.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
44,Gravity causes surface water to flow downward to lower areas.,SRC-CAU-019,causality,Cause: gravity pulls water downward; Effect/mechanism: surface water can flow toward lower ground.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH,SRC-CAU-019,causality,Cause: gravity pulls water downward; Effect/mechanism: surface water can flow toward lower ground.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
45,A long tail can improve balance.,SRC-CAU-020,causality,Cause: an animal has a long balancing tail; Effect/mechanism: balance improves during climbing or movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH,SRC-CAU-020,causality,Cause: an animal has a long balancing tail; Effect/mechanism: balance improves during climbing or movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
46,Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.,SRC-CAU-021,causality,Cause: a satellite measures precipitation from orbit; Effect/mechanism: scientists can monitor rainfall over broad areas.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH,SRC-CAU-021,causality,Cause: a satellite measures precipitation from orbit; Effect/mechanism: scientists can monitor rainfall over broad areas.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
47,Wells reaching aquifers can extract groundwater.,SRC-CAU-022,causality,Cause: a well reaches a permeable aquifer; Effect/mechanism: groundwater can be pumped for use.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH,SRC-CAU-022,causality,Cause: a well reaches a permeable aquifer; Effect/mechanism: groundwater can be pumped for use.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
48,Cooling water vapor forms visible clouds.,SRC-CAU-023,causality,Cause: an educational cloud experiment cools water vapor; Effect/mechanism: a visible cloud forms.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH,SRC-CAU-023,causality,Cause: an educational cloud experiment cools water vapor; Effect/mechanism: a visible cloud forms.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
49,The speed at which a force is applied may change.,SRC-CAU-024,causality,Cause: a force is applied to a moving object; Effect/mechanism: its velocity may change.,https://openstax.org/books/physics/pages/4-1-force,PARTIAL_MATCH,SRC-CAU-024,causality,Cause: a force is applied to a moving object; Effect/mechanism: its velocity may change.,https://openstax.org/books/physics/pages/4-1-force,PARTIAL_MATCH
50,A measuring system tracking the tide level can record high and low tides for prediction.,SRC-CAU-025,causality,Cause: a measurement system tracks tidal height; Effect/mechanism: high and low water predictions can be recorded.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,STRONG_MATCH,SRC-CAU-025,causality,Cause: a measurement system tracks tidal height; Effect/mechanism: high and low water predictions can be recorded.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,STRONG_MATCH
51,"The water cycle is the process of continuous movement of water between land, ocean and atmosphere in the Earth system.",SRC-ANA-001,analogy,Whale flippers -> steer through water; Human arms -> steer body movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-DEF-001,definition,Concept: water cycle; Broader category: Earth-system process; Key property/function: continual movement of water among land ocean and atmosphere.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
52,Evaporation is the phase change that turns liquid water into water vapor.,SRC-ANA-002,analogy,Well pump -> lifts groundwater; Irrigation pump -> moves water for plants.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-DEF-002,definition,Concept: evaporation; Broader category: phase change; Key property/function: liquid water becomes vapor.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
53,Photosynthesis is a biological energy process that uses light energy to help synthesize carbohydrates.,SRC-ANA-003,analogy,Satellite sensor -> observes precipitation; Tide gauge -> records water level.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,NO_MATCH,SRC-DEF-003,definition,Concept: photosynthesis; Broader category: biological energy process; Key property/function: light energy helps build carbohydrates.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
54,Tidal force is the gravitational effect of the difference in gravity between the moon and the sun on the sea.,SRC-ANA-004,analogy,Chlorophyll -> absorbs light; Solar panel -> absorbs sunlight for energy conversion.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-DEF-004,definition,Concept: tidal force; Broader category: gravitational effect; Key property/function: differential lunar or solar gravity affects ocean water.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
55,Groundwater is the underground water resource that fills underground pores or fissures.,SRC-ANA-005,analogy,Microscope -> magnifies small structures; Telescope -> magnifies distant objects.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,NO_MATCH,SRC-DEF-005,definition,Concept: groundwater; Broader category: subsurface water resource; Key property/function: water fills pores or cracks below ground.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
56,Momentum is a physical quantity that is the product of mass and velocity.,SRC-ANA-006,analogy,Chloroplast -> part of -> a photosynthetic plant cell; Leaf -> part of -> a plant.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-DEF-006,definition,Concept: momentum; Broader category: physical quantity; Key property/function: mass multiplied by velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
57,Speed is a physical quantity that describes the rate of motion with direction.,SRC-ANA-007,analogy,Water droplet -> part of -> a cloud; Cloud -> part of -> the water cycle.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,NO_MATCH,SRC-DEF-007,definition,Concept: velocity; Broader category: motion quantity; Key property/function: describes speed with direction.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
58,Conservation is the physical principle that physical quantities remain unchanged under specific conditions.,SRC-ANA-008,analogy,Water table -> part of -> an aquifer system; Aquifer -> part of -> groundwater storage.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-DEF-008,definition,Concept: conservation; Broader category: physical principle; Key property/function: a quantity remains constant under specified conditions.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
59,Force is the physical interaction that can change motion.,SRC-ANA-009,analogy,Tidal bulge -> part of -> a tide pattern; Ocean -> part of -> the Earth system.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,NO_MATCH,SRC-DEF-009,definition,Concept: force; Broader category: physical interaction; Key property/function: push or pull that can change motion.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
60,Acceleration is the physical quantity that describes the change in velocity over time.,SRC-ANA-010,analogy,Flipper -> part of -> a whale; Wing -> part of -> an owl.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-DEF-010,definition,Concept: acceleration; Broader category: motion quantity; Key property/function: change in velocity over time.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
61,Well is a water extraction structure that reaches groundwater for extraction.,SRC-ANA-011,analogy,Permeable rock -> supports -> groundwater movement; Porous soil -> supports -> infiltration.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-DEF-011,definition,Concept: well; Broader category: water-access structure; Key property/function: reaches groundwater for withdrawal.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
62,Cloud is an aggregation of atmospheric water droplets or ice particles containing condensation.,SRC-ANA-012,analogy,Chloroplast -> supports -> photosynthesis; Mesophyll -> supports -> leaf gas exchange.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-DEF-012,definition,Concept: cloud; Broader category: atmospheric water collection; Key property/function: contains condensed droplets or ice particles.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
63,Flippers are the animal body structure that helps whales turn in water.,SRC-ANA-013,analogy,Moon gravity -> supports -> tidal bulges; Sun gravity -> supports -> additional tidal effects.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,NO_MATCH,SRC-DEF-013,definition,Concept: flipper; Broader category: animal body structure; Key property/function: helps a whale steer through water.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
