candidate_id,task_class,target_provenance,response_text,source_family,source_reference,author_id,length_tokens,length_band,self_contained,naturalness,label_quality,lexical_giveaway,notes,collection_status
FIN-LOG-E-004,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-005,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-006,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-007,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-008,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-009,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-010,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-011,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-012,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-013,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-014,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-015,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-016,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-017,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-018,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-019,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-020,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-021,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-022,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-023,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-024,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-025,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-H-001,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-002,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-003,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-004,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-005,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-006,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-007,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-008,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-009,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-010,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-011,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-012,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-013,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-014,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-015,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-016,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-017,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-018,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-019,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-020,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-021,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-022,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-023,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-024,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-H-025,causality,human_authored,,,,,,,,,,,,pending
FIN-CAU-E-001,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-002,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-003,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-004,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-005,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-006,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-007,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-008,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-009,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-010,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-011,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-012,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-013,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-014,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-015,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-016,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-017,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-018,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-019,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-020,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-021,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-022,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-023,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-024,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-CAU-E-025,causality,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-H-001,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-002,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-003,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-004,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-005,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-006,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-007,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-008,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-009,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-010,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-011,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-012,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-013,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-014,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-015,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-016,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-017,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-018,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-019,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-020,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-021,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-022,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-023,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-024,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-H-025,analogy,human_authored,,,,,,,,,,,,pending
FIN-ANA-E-001,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-002,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-003,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-004,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-005,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-006,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-007,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-008,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-009,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-010,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-011,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-012,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-013,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-014,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-015,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-016,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-017,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-018,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-019,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-020,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-021,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-022,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-023,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-024,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-ANA-E-025,analogy,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-H-001,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-002,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-003,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-004,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-005,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-006,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-007,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-008,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-009,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-010,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-011,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-012,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-013,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-014,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-015,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-016,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-017,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-018,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-019,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-020,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-021,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-022,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-023,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-024,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-H-025,definition,human_authored,,,,,,,,,,,,pending
FIN-DEF-E-001,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-002,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-003,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-004,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-005,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-006,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-007,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-008,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-009,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-010,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-011,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-012,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-013,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-014,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-015,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-016,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-017,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-018,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-019,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-020,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-021,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-022,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-023,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-024,definition,manually_adapted_external,,,,,,,,,,,,pending
FIN-DEF-E-025,definition,manually_adapted_external,,,,,,,,,,,,pending
