candidate_id,task_class,original_response,review_status,corrected_response,reason,semantic_change_guard,human_approved
SRC-CAU-011,causality,"Sunlight heating surface water causes liquid water to evaporate.",MINOR_NATURALNESS_FIX,"Sunlight heats surface water, causing liquid water to evaporate.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-CAU-012,causality,"Water vapor rises to cooler air, condenses to form cloud droplets.",MINOR_GRAMMAR_FIX,"Water vapor rises into cooler air and condenses to form cloud droplets.","仅修正语法、冠词、连接或标点，未改变原意。",UNCHANGED,
SRC-CAU-013,causality,"Changes in the gravitational pull of the moon cause tidal forces, causing the ocean to bulge.",MINOR_GRAMMAR_FIX,"Changes in the Moon's gravitational pull create tidal forces, causing the ocean to bulge.","仅修正语法、冠词、连接或标点，未改变原意。",UNCHANGED,
SRC-CAU-014,causality,"Precipitation infiltration can replenish groundwater.",MINOR_NATURALNESS_FIX,"Infiltration of precipitation can replenish groundwater.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-CAU-015,causality,"Extraction faster than infiltration causes the groundwater level to drop.",MINOR_NATURALNESS_FIX,"Groundwater extraction faster than infiltration causes the groundwater level to drop.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-CAU-016,causality,"Warm water vapor contacting a cold container will condense into liquid droplets.",MINOR_GRAMMAR_FIX,"When warm water vapor contacts a cold container, it condenses into liquid droplets.","仅修正语法、冠词、连接或标点，未改变原意。",UNCHANGED,
SRC-CAU-017,causality,"Rainfall infiltration can allow water in the permeable ground to enter the underground.",HUMAN_REWRITE_REQUIRED,"","当前句子含义不完整，表层修改不足。",HUMAN_REQUIRED,
SRC-CAU-018,causality,"Bale plates retain prey, enabling whales to filter-feed.",HUMAN_REWRITE_REQUIRED,"","术语可能不准确，修复需要改变事实表述，需人工处理。",HUMAN_REQUIRED,
SRC-CAU-019,causality,"Gravity causes surface water to flow downward to lower areas.",MINOR_GRAMMAR_FIX,"Gravity causes surface water to flow downward to lower areas.","仅修正格式性空白，句子本身无需语义改写。",UNCHANGED,
SRC-CAU-020,causality,"A long tail can improve balance.",PASS,"A long tail can improve balance.","语法和表达自然，无需修改。",PASS,
SRC-CAU-021,causality,"Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.",MINOR_GRAMMAR_FIX,"Satellite measurements of precipitation enable scientists to monitor large-scale rainfall.","仅修正语法、冠词、连接或标点，未改变原意。",UNCHANGED,
SRC-CAU-022,causality,"Wells reaching aquifers can extract groundwater.",PASS,"Wells reaching aquifers can extract groundwater.","语法和表达自然，无需修改。",PASS,
SRC-CAU-023,causality,"Cooling water vapor forms visible clouds.",PASS,"Cooling water vapor forms visible clouds.","语法和表达自然，无需修改。",PASS,
SRC-CAU-024,causality,"The speed at which a force is applied may change.",HUMAN_REWRITE_REQUIRED,"","当前句子缺少明确结果，表层修改不足。",HUMAN_REQUIRED,
SRC-CAU-025,causality,"A measuring system tracking the tide level can record high and low tides for prediction.",MINOR_NATURALNESS_FIX,"A system that tracks tide level can record high and low tides for prediction.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
