source_card_id,task_class,topic_group,source_material,source_reference,human_response,grammar_status,human_approved,status
SRC-LOG-017,logic,comparison_or_transitivity,"Premise 1: Solar energy drives evaporation; Premise 2: evaporated water enters atmospheric circulation.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-LOG-018,logic,comparison_or_transitivity,"Premise 1: Moon gravity contributes more to tides than Sun gravity at Earth; Premise 2: stronger tidal influence has greater effect in the simplified comparison.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-LOG-019,logic,comparison_or_transitivity,"Premise 1: Permeable material permits water movement; Premise 2: interconnected pores permit flow through an aquifer.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-LOG-020,logic,comparison_or_transitivity,"Premise 1: A net force changes motion; Premise 2: acceleration describes a change in velocity.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-LOG-021,logic,simple_rule_application,"Rule: Momentum is mass multiplied by velocity; Fact: a cart has a mass and a velocity.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-LOG-022,logic,simple_rule_application,"Rule: Clouds form when cooled vapor condenses; Fact: rising vapor cools in the atmosphere.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-LOG-023,logic,simple_rule_application,"Rule: Groundwater recharge follows infiltration into an aquifer; Fact: precipitation enters permeable soil.",https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,,,pending
SRC-LOG-024,logic,simple_rule_application,"Rule: Tides involve ocean response to lunar and solar gravity; Fact: both bodies exert gravity on Earth.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-LOG-025,logic,simple_rule_application,"Rule: Adaptations improve survival in an environment; Fact: an animal feature improves feeding or movement.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-CAU-001,causality,physics,"Cause: a net force acts on an object; Effect/mechanism: the object’s motion changes.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-CAU-002,causality,physics,"Cause: force acts for a longer time; Effect/mechanism: impulse and momentum change become larger.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-CAU-003,causality,physics,"Cause: two equal-mass carts collide elastically; Effect/mechanism: momentum transfers between the carts.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-CAU-004,causality,physics,"Cause: an external force acts on a system; Effect/mechanism: total system momentum can change.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-CAU-005,causality,physics,"Cause: an object’s velocity changes; Effect/mechanism: its momentum changes because momentum depends on velocity.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-CAU-006,causality,biology,"Cause: organisms absorb solar energy through photosynthesis; Effect/mechanism: chemical energy is stored in carbohydrates.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-CAU-007,causality,biology,"Cause: photosynthesis uses water and carbon dioxide; Effect/mechanism: sugar and oxygen are produced.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-CAU-008,causality,biology,"Cause: chlorophyll absorbs light; Effect/mechanism: light energy enters the photosynthetic process.",https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,,,pending
SRC-CAU-009,causality,biology,"Cause: stomata close on hot dry days; Effect/mechanism: plant water loss is reduced.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-CAU-010,causality,biology,"Cause: an owl has feather patterns that blend with its surroundings; Effect/mechanism: camouflage helps it remain hidden.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-CAU-011,causality,earth_environment,"Cause: sunlight heats surface water; Effect/mechanism: liquid water evaporates.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-CAU-012,causality,earth_environment,"Cause: water vapor rises into cooler air; Effect/mechanism: condensation forms cloud droplets.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-CAU-013,causality,earth_environment,"Cause: the Moon’s gravity varies across Earth; Effect/mechanism: tidal forces create ocean bulges.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-CAU-014,causality,earth_environment,"Cause: precipitation enters permeable soil and rock; Effect/mechanism: groundwater recharge occurs.",https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,,,pending
SRC-CAU-015,causality,earth_environment,"Cause: groundwater is pumped faster than recharge; Effect/mechanism: the water table can decline.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-CAU-016,causality,everyday_processes,"Cause: warm water vapor touches a cold bottle; Effect/mechanism: vapor condenses into droplets.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-CAU-017,causality,everyday_processes,"Cause: rain falls on permeable ground; Effect/mechanism: some water infiltrates below the surface.",https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,,,pending
SRC-CAU-018,causality,everyday_processes,"Cause: a whale’s baleen retains small prey while water passes; Effect/mechanism: the whale can filter-feed.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-CAU-019,causality,everyday_processes,"Cause: gravity pulls water downward; Effect/mechanism: surface water can flow toward lower ground.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-CAU-020,causality,everyday_processes,"Cause: an animal has a long balancing tail; Effect/mechanism: balance improves during climbing or movement.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-CAU-021,causality,technology_mechanisms,"Cause: a satellite measures precipitation from orbit; Effect/mechanism: scientists can monitor rainfall over broad areas.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-CAU-022,causality,technology_mechanisms,"Cause: a well reaches a permeable aquifer; Effect/mechanism: groundwater can be pumped for use.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-CAU-023,causality,technology_mechanisms,"Cause: an educational cloud experiment cools water vapor; Effect/mechanism: a visible cloud forms.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-CAU-024,causality,technology_mechanisms,"Cause: a force is applied to a moving object; Effect/mechanism: its velocity may change.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-CAU-025,causality,technology_mechanisms,"Cause: a measurement system tracks tidal height; Effect/mechanism: high and low water predictions can be recorded.",https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,,,pending
SRC-ANA-001,analogy,tool_function,"Whale flippers -> steer through water; Human arms -> steer body movement.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-ANA-002,analogy,tool_function,"Well pump -> lifts groundwater; Irrigation pump -> moves water for plants.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-ANA-003,analogy,tool_function,"Satellite sensor -> observes precipitation; Tide gauge -> records water level.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-ANA-004,analogy,tool_function,"Chlorophyll -> absorbs light; Solar panel -> absorbs sunlight for energy conversion.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-ANA-005,analogy,tool_function,"Microscope -> magnifies small structures; Telescope -> magnifies distant objects.",https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,,,pending
SRC-ANA-006,analogy,part_whole,"Chloroplast -> part of -> a photosynthetic plant cell; Leaf -> part of -> a plant.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-ANA-007,analogy,part_whole,"Water droplet -> part of -> a cloud; Cloud -> part of -> the water cycle.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-ANA-008,analogy,part_whole,"Water table -> part of -> an aquifer system; Aquifer -> part of -> groundwater storage.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-ANA-009,analogy,part_whole,"Tidal bulge -> part of -> a tide pattern; Ocean -> part of -> the Earth system.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-ANA-010,analogy,part_whole,"Flipper -> part of -> a whale; Wing -> part of -> an owl.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-ANA-011,analogy,support_structure,"Permeable rock -> supports -> groundwater movement; Porous soil -> supports -> infiltration.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-ANA-012,analogy,support_structure,"Chloroplast -> supports -> photosynthesis; Mesophyll -> supports -> leaf gas exchange.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-ANA-013,analogy,support_structure,"Moon gravity -> supports -> tidal bulges; Sun gravity -> supports -> additional tidal effects.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-ANA-014,analogy,support_structure,"Net external force zero -> supports -> momentum conservation; Isolated system -> supports -> constant total momentum.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-ANA-015,analogy,support_structure,"Whale baleen -> supports -> prey retention; Filter surface -> supports -> particle separation.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-ANA-016,analogy,location_or_container,"Aquifer -> contains -> groundwater; Cloud -> contains -> condensed water droplets.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-ANA-017,analogy,location_or_container,"Chloroplast -> contains -> photosynthetic machinery; Leaf -> contains -> mesophyll cells.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-ANA-018,analogy,location_or_container,"Ocean -> contains -> tidal bulges; Atmosphere -> contains -> water vapor.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-ANA-019,analogy,location_or_container,"Bone marrow -> produces -> immune blood-cell precursors; Lymphatic vessels -> carry -> immune cells.",https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,,,pending
SRC-ANA-020,analogy,location_or_container,"Groundwater pore space -> stores -> water; Reservoir -> stores -> collected surface water.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-ANA-021,analogy,functional_correspondence,"Evaporation -> moves water to atmosphere; Transpiration -> moves plant water to atmosphere.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-ANA-022,analogy,functional_correspondence,"Force -> changes motion; Heat -> changes water state.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-ANA-023,analogy,functional_correspondence,"Adaptation -> improves survival; Tool design -> improves task performance.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-ANA-024,analogy,functional_correspondence,"Momentum conservation -> constrains collision outcomes; Energy conservation -> constrains transformation outcomes.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-ANA-025,analogy,functional_correspondence,"Immune barrier -> blocks harmful agents; Physical barrier -> blocks unwanted entry.",https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,,,pending
SRC-DEF-001,definition,science_concepts,"Concept: water cycle; Broader category: Earth-system process; Key property/function: continual movement of water among land ocean and atmosphere.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-DEF-002,definition,science_concepts,"Concept: evaporation; Broader category: phase change; Key property/function: liquid water becomes vapor.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-DEF-003,definition,science_concepts,"Concept: photosynthesis; Broader category: biological energy process; Key property/function: light energy helps build carbohydrates.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-DEF-004,definition,science_concepts,"Concept: tidal force; Broader category: gravitational effect; Key property/function: differential lunar or solar gravity affects ocean water.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-DEF-005,definition,science_concepts,"Concept: groundwater; Broader category: subsurface water resource; Key property/function: water fills pores or cracks below ground.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-DEF-006,definition,mathematics_concepts,"Concept: momentum; Broader category: physical quantity; Key property/function: mass multiplied by velocity.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-DEF-007,definition,mathematics_concepts,"Concept: velocity; Broader category: motion quantity; Key property/function: describes speed with direction.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-DEF-008,definition,mathematics_concepts,"Concept: conservation; Broader category: physical principle; Key property/function: a quantity remains constant under specified conditions.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-DEF-009,definition,mathematics_concepts,"Concept: force; Broader category: physical interaction; Key property/function: push or pull that can change motion.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-DEF-010,definition,mathematics_concepts,"Concept: acceleration; Broader category: motion quantity; Key property/function: change in velocity over time.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-DEF-011,definition,everyday_objects,"Concept: well; Broader category: water-access structure; Key property/function: reaches groundwater for withdrawal.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-DEF-012,definition,everyday_objects,"Concept: cloud; Broader category: atmospheric water collection; Key property/function: contains condensed droplets or ice particles.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-DEF-013,definition,everyday_objects,"Concept: flipper; Broader category: animal body structure; Key property/function: helps a whale steer through water.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-DEF-014,definition,everyday_objects,"Concept: baleen; Broader category: feeding structure; Key property/function: retains small prey while water passes.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-DEF-015,definition,everyday_objects,"Concept: feather camouflage; Broader category: animal adaptation; Key property/function: blends an animal with its surroundings.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-DEF-016,definition,technology_concepts,"Concept: satellite precipitation sensor; Broader category: remote-observation instrument; Key property/function: measures rainfall-related information from orbit.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-DEF-017,definition,technology_concepts,"Concept: well pump; Broader category: water-moving device; Key property/function: lifts groundwater to the surface.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-DEF-018,definition,technology_concepts,"Concept: tide gauge; Broader category: environmental measuring instrument; Key property/function: records changes in water level.",https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,,,pending
SRC-DEF-019,definition,technology_concepts,"Concept: chlorophyll sensor; Broader category: light-sensitive measurement tool; Key property/function: detects or studies light absorption.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-DEF-020,definition,technology_concepts,"Concept: filtration surface; Broader category: separation mechanism; Key property/function: lets water pass while retaining particles.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-DEF-021,definition,general_education_concepts,"Concept: adaptation; Broader category: biological feature; Key property/function: helps an organism survive in an environment.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-DEF-022,definition,general_education_concepts,"Concept: immune system; Broader category: body defense system; Key property/function: detects and helps eliminate harmful agents.",https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,,,pending
SRC-DEF-023,definition,general_education_concepts,"Concept: aquifer; Broader category: water-bearing geologic formation; Key property/function: stores and transmits usable groundwater.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-DEF-024,definition,general_education_concepts,"Concept: precipitation; Broader category: water-cycle transfer; Key property/function: water falls from atmosphere to Earth’s surface.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-DEF-025,definition,general_education_concepts,"Concept: chloroplast; Broader category: plant-cell organelle; Key property/function: contains the machinery for photosynthesis.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
