candidate_id,true_task_class,predicted_task_class,response_text,probabilities,provenance,topic_domain
GAP-LOG-017,logic,analogy,A book north of a lamp is not south of the lamp in the same layout.,"{""logic"": 0.21352561092741917, ""causality"": 0.23481497415373406, ""analogy"": 0.3179610901371015, ""definition"": 0.23369832478174532}",independent_external,spatial_reasoning
GAP-LOG-018,logic,definition,A number divisible by ten ends in zero.,"{""logic"": 0.20319335535186597, ""causality"": 0.2565688252612425, ""analogy"": 0.25237708606294024, ""definition"": 0.28786073332395123}",ai_assisted_surface_normalized,mathematics
GAP-LOG-019,logic,definition,A square is a rectangle with equal sides.,"{""logic"": 0.16574497807935595, ""causality"": 0.17794787970291537, ""analogy"": 0.22806812261430245, ""definition"": 0.4282390196034263}",rule_composed,mathematics
GAP-LOG-020,logic,definition,An object inside a smaller box is also inside a larger box around it.,"{""logic"": 0.11584021123483645, ""causality"": 0.11980016215577077, ""analogy"": 0.1699401210297142, ""definition"": 0.5944195055796784}",independent_external,spatial_reasoning
GAP-LOG-021,logic,definition,A ticket dated tomorrow is later than a ticket dated today.,"{""logic"": 0.18243238080850888, ""causality"": 0.1870441779322892, ""analogy"": 0.2017641960086355, ""definition"": 0.42875924525056647}",ai_assisted_surface_normalized,everyday_life
GAP-LOG-022,logic,definition,"If every seat is occupied, no seat is available.","{""logic"": 0.2514442134284042, ""causality"": 0.18485762986760218, ""analogy"": 0.19866247140262486, ""definition"": 0.3650356853013689}",rule_composed,everyday_life
GAP-LOG-023,logic,definition,A triangle with three sides is a polygon.,"{""logic"": 0.15794324381123184, ""causality"": 0.2001843554165124, ""analogy"": 0.23373406297985613, ""definition"": 0.40813833779239966}",independent_external,mathematics
GAP-LOG-025,logic,causality,A larger whole divided into equal pieces gives smaller pieces.,"{""logic"": 0.24382439263128092, ""causality"": 0.27276799453703626, ""analogy"": 0.26356499676692735, ""definition"": 0.21984261606475544}",rule_composed,mathematics
GAP-LOG-026,logic,definition,"If an organism has chloroplasts, it can use light energy in photosynthesis.","{""logic"": 0.20882611802829434, ""causality"": 0.22287492443441398, ""analogy"": 0.21247194626515484, ""definition"": 0.3558270112721368}",independent_external,biology
GAP-LOG-028,logic,causality,"If consumers eat producers, energy moves from producers to consumers.","{""logic"": 0.287142095566585, ""causality"": 0.3259035654185296, ""analogy"": 0.21346300629013495, ""definition"": 0.1734913327247505}",rule_composed,biology
GAP-LOG-029,logic,analogy,A hemisphere tilted toward the Sun receives more direct sunlight.,"{""logic"": 0.28823881248030847, ""causality"": 0.2665011913972134, ""analogy"": 0.3017739928675324, ""definition"": 0.14348600325494576}",independent_external,earth_science
GAP-LOG-031,logic,causality,A fair six-sided die gives each face equal probability.,"{""logic"": 0.2503176924363144, ""causality"": 0.2746491440312174, ""analogy"": 0.24558170746032357, ""definition"": 0.2294514560721447}",rule_composed,mathematics
GAP-LOG-032,logic,analogy,Two equally likely coin outcomes give heads a probability of one half.,"{""logic"": 0.20331649513478872, ""causality"": 0.2905193645388874, ""analogy"": 0.3206214310885829, ""definition"": 0.1855427092377411}",independent_external,mathematics
GAP-LOG-034,logic,definition,"Without an unbalanced force, constant velocity continues.","{""logic"": 0.21601534503804928, ""causality"": 0.20606598347424682, ""analogy"": 0.2835535700256827, ""definition"": 0.29436510146202116}",rule_composed,physics
GAP-LOG-035,logic,causality,"If groundwater moves through rock spaces, connected spaces can permit flow.","{""logic"": 0.24807619186478105, ""causality"": 0.35900566641741805, ""analogy"": 0.2300546899438785, ""definition"": 0.1628634517739223}",independent_external,earth_science
GAP-LOG-038,logic,analogy,"If Earth's land, air, water, and life interact, change in one part can affect another.","{""logic"": 0.20960035332674395, ""causality"": 0.2910321016999302, ""analogy"": 0.3116350701269772, ""definition"": 0.18773247484634872}",independent_external,earth_science
GAP-LOG-042,logic,causality,"If water moves through reservoirs and pathways, groundwater participates in a cycle.","{""logic"": 0.20480997319931632, ""causality"": 0.3438421954428602, ""analogy"": 0.27823880137611856, ""definition"": 0.173109029981705}",ai_assisted_surface_normalized,earth_science
GAP-CAU-001,causality,logic,Friction slows a rolling ball on the floor.,"{""logic"": 0.3061709088614666, ""causality"": 0.26248501385870443, ""analogy"": 0.30401955977617395, ""definition"": 0.12732451750365503}",rule_composed,physics
GAP-CAU-002,causality,analogy,Adding ice cools a drink.,"{""logic"": 0.2594427285236621, ""causality"": 0.2597052493833681, ""analogy"": 0.26999763314119835, ""definition"": 0.21085438895177153}",independent_external,everyday_life
GAP-CAU-003,causality,analogy,Opening a window can lower room temperature.,"{""logic"": 0.2319938159716952, ""causality"": 0.24802574167946048, ""analogy"": 0.3012865370229366, ""definition"": 0.21869390532590768}",ai_assisted_surface_normalized,everyday_life
GAP-CAU-004,causality,logic,Pressing a bicycle brake reduces its speed.,"{""logic"": 0.29929406266659847, ""causality"": 0.23454512523599083, ""analogy"": 0.22984933578611808, ""definition"": 0.2363114763112926}",rule_composed,technology
GAP-CAU-006,causality,analogy,Moving air speeds evaporation from wet clothes.,"{""logic"": 0.24737602070131828, ""causality"": 0.2557459038181916, ""analogy"": 0.3169812110492483, ""definition"": 0.17989686443124184}",ai_assisted_surface_normalized,everyday_life
GAP-CAU-008,causality,analogy,Stretching a rubber band stores elastic energy.,"{""logic"": 0.25760528739697847, ""causality"": 0.2422713024994813, ""analogy"": 0.2942633778574744, ""definition"": 0.20586003224606578}",independent_external,physics
GAP-CAU-009,causality,analogy,Removing the batteries stops a flashlight.,"{""logic"": 0.2872626707301032, ""causality"": 0.2729684100289671, ""analogy"": 0.3055870938389908, ""definition"": 0.13418182540193901}",ai_assisted_surface_normalized,technology
GAP-CAU-010,causality,analogy,Blocking a light sensor prevents it from detecting light.,"{""logic"": 0.25021486549824073, ""causality"": 0.2555894032870223, ""analogy"": 0.2654831911338481, ""definition"": 0.22871254008088884}",rule_composed,technology
GAP-CAU-011,causality,analogy,Sunlight warms a dark surface.,"{""logic"": 0.24035694051383089, ""causality"": 0.2616384333937691, ""analogy"": 0.2695070853947094, ""definition"": 0.22849754069769065}",independent_external,earth_science
GAP-CAU-013,causality,analogy,Evaporation can cool a wet surface.,"{""logic"": 0.23599642438579682, ""causality"": 0.23067029872389816, ""analogy"": 0.3361428823783453, ""definition"": 0.1971903945119598}",rule_composed,earth_science
GAP-CAU-015,causality,analogy,Cellular respiration releases usable energy from food.,"{""logic"": 0.25875913875176304, ""causality"": 0.24063342831550696, ""analogy"": 0.3169419838627762, ""definition"": 0.18366544906995388}",ai_assisted_surface_normalized,biology
GAP-CAU-016,causality,definition,Consumers receive energy by eating food.,"{""logic"": 0.2402553689362197, ""causality"": 0.24533559735693675, ""analogy"": 0.2449576718573223, ""definition"": 0.26945136184952123}",rule_composed,biology
GAP-CAU-017,causality,definition,An unbalanced force changes an object's velocity.,"{""logic"": 0.1903959912365235, ""causality"": 0.22664619802320954, ""analogy"": 0.2046925945040734, ""definition"": 0.3782652162361935}",independent_external,physics
GAP-CAU-018,causality,logic,Groundwater movement follows gravity and pressure.,"{""logic"": 0.31995140694879703, ""causality"": 0.2308101190720317, ""analogy"": 0.2918140429188581, ""definition"": 0.15742443106031315}",ai_assisted_surface_normalized,earth_science
GAP-CAU-019,causality,analogy,"Immune defenses block, detect, and remove harmful agents.","{""logic"": 0.22498610337977798, ""causality"": 0.22595038385448146, ""analogy"": 0.35339258353185515, ""definition"": 0.19567092923388535}",rule_composed,biology
GAP-CAU-020,causality,analogy,Macrophages engulf foreign material.,"{""logic"": 0.2557746086974407, ""causality"": 0.25331456913214206, ""analogy"": 0.27666189429831994, ""definition"": 0.21424892787209732}",independent_external,biology
GAP-CAU-021,causality,analogy,Cooling air turns water vapor into droplets.,"{""logic"": 0.24734859886913102, ""causality"": 0.2684051356294141, ""analogy"": 0.27751040312194364, ""definition"": 0.20673586237951128}",ai_assisted_surface_normalized,earth_science
GAP-CAU-022,causality,analogy,Longer sunlight exposure heats a surface more.,"{""logic"": 0.24181074534153627, ""causality"": 0.26583533256997754, ""analogy"": 0.2721117644151433, ""definition"": 0.22024215767334285}",rule_composed,earth_science
GAP-CAU-025,causality,logic,Pumping water upward requires energy input.,"{""logic"": 0.42223983499619383, ""causality"": 0.1955016288838284, ""analogy"": 0.2113027151148984, ""definition"": 0.17095582100507942}",rule_composed,technology
GAP-CAU-026,causality,analogy,A barrier on a route prevents a traveler from reaching the destination.,"{""logic"": 0.2825990609052492, ""causality"": 0.2514967887441316, ""analogy"": 0.3347561867021228, ""definition"": 0.13114796364849635}",independent_external,spatial_reasoning
GAP-CAU-030,causality,analogy,A missing key prevents a lock from opening.,"{""logic"": 0.2529506052095198, ""causality"": 0.25883404449371866, ""analogy"": 0.2694541180296172, ""definition"": 0.21876123226714442}",ai_assisted_surface_normalized,technology
GAP-ANA-010,analogy,definition,"A plant stores light energy in carbohydrates, and a battery stores electrical energy for later use.","{""logic"": 0.1943940340103998, ""causality"": 0.21562656445279302, ""analogy"": 0.2866518496671862, ""definition"": 0.30332755186962085}",rule_composed,biology
GAP-ANA-012,analogy,logic,"Pore spaces hold groundwater, and a reservoir holds surface water.","{""logic"": 0.3585650259755791, ""causality"": 0.18424804987572466, ""analogy"": 0.2990028103376862, ""definition"": 0.15818411381100997}",ai_assisted_surface_normalized,earth_science
GAP-ANA-014,analogy,causality,"A force changes motion, and heat changes the state of water.","{""logic"": 0.24275359102923455, ""causality"": 0.3742931589691146, ""analogy"": 0.23374770874444292, ""definition"": 0.14920554125720797}",independent_external,physics
GAP-ANA-015,analogy,causality,"Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.","{""logic"": 0.23597688507789413, ""causality"": 0.29544979211319206, ""analogy"": 0.29174043653127923, ""definition"": 0.17683288627763455}",ai_assisted_surface_normalized,earth_science
GAP-ANA-017,analogy,causality,"A well pump lifts groundwater, and a heart pumps blood through vessels.","{""logic"": 0.16572793173694636, ""causality"": 0.37311096231531726, ""analogy"": 0.294690514074732, ""definition"": 0.1664705918730042}",independent_external,biology
GAP-DEF-003,definition,analogy,A fraction represents part of a whole.,"{""logic"": 0.252742757476304, ""causality"": 0.2223752837296294, ""analogy"": 0.2790453891321235, ""definition"": 0.24583656966194303}",independent_external,mathematics
GAP-DEF-009,definition,causality,A variable is a quantity that can change.,"{""logic"": 0.18083194968684577, ""causality"": 0.3360871909700737, ""analogy"": 0.19698135997012034, ""definition"": 0.2860994993729602}",independent_external,mathematics
GAP-DEF-010,definition,analogy,A map is a representation of places and their relationships.,"{""logic"": 0.16976689932488526, ""causality"": 0.14645237593422802, ""analogy"": 0.4680885761339255, ""definition"": 0.21569214860696123}",ai_assisted_surface_normalized,geography
GAP-DEF-013,definition,causality,Inertia is resistance to a change in motion.,"{""logic"": 0.15899600643402373, ""causality"": 0.36628293806979617, ""analogy"": 0.2129063278827397, ""definition"": 0.26181472761344043}",ai_assisted_surface_normalized,physics
GAP-DEF-015,definition,analogy,An ecosystem includes organisms and their physical environment.,"{""logic"": 0.190890907507749, ""causality"": 0.2344721311559028, ""analogy"": 0.32707047703559805, ""definition"": 0.24756648430075018}",independent_external,biology
GAP-DEF-016,definition,analogy,A food web represents feeding relationships in an ecosystem.,"{""logic"": 0.14372868205474393, ""causality"": 0.19530052281261662, ""analogy"": 0.40002814486866384, ""definition"": 0.2609426502639755}",ai_assisted_surface_normalized,biology
GAP-DEF-017,definition,analogy,An aquifer is a water-bearing formation that can store and transmit groundwater.,"{""logic"": 0.18161507835748078, ""causality"": 0.18445902120207922, ""analogy"": 0.3377143708591694, ""definition"": 0.29621152958127067}",rule_composed,earth_science
GAP-DEF-019,definition,analogy,"The immune system is a group of cells, tissues, and organs that protects the body.","{""logic"": 0.18777363188858862, ""causality"": 0.24147802769155535, ""analogy"": 0.3121674469139706, ""definition"": 0.2585808935058855}",ai_assisted_surface_normalized,biology
GAP-DEF-026,definition,causality,Condensation is the change of vapor into a liquid.,"{""logic"": 0.20554529153409054, ""causality"": 0.3339397144377892, ""analogy"": 0.23903992941806587, ""definition"": 0.22147506461005456}",rule_composed,earth_science
REMED-LOG-001,logic,definition,"If a number is divisible by four, it is even.","{""logic"": 0.23066864857667618, ""causality"": 0.17236235765662658, ""analogy"": 0.18938590866950825, ""definition"": 0.40758308509718905}",rule_composed,mathematics
REMED-LOG-002,logic,analogy,Nothing can be entirely north and entirely south of the same point.,"{""logic"": 0.26349897644778386, ""causality"": 0.2067480371657988, ""analogy"": 0.3669095384033305, ""definition"": 0.1628434479830867}",rule_composed,spatial_reasoning
REMED2-CAU-001,causality,definition,Wind erodes bare soil by carrying loose particles away.,"{""logic"": 0.2169445881659591, ""causality"": 0.22401701192856996, ""analogy"": 0.2653018191680081, ""definition"": 0.2937365807374628}",rule_composed,earth_science
REMED2-CAU-002,causality,analogy,Cooling magma causes it to solidify into igneous rock.,"{""logic"": 0.20096475131802483, ""causality"": 0.29114059688372784, ""analogy"": 0.29774303974165417, ""definition"": 0.21015161205659322}",rule_composed,earth_science
REMED2-LOG-001,logic,definition,"If a quantity is greater than seven, it cannot be less than five.","{""logic"": 0.26520312722367406, ""causality"": 0.20521831442524066, ""analogy"": 0.2119227132321778, ""definition"": 0.3176558451189074}",rule_composed,quantitative_reasoning
