id,group,question,expected_answer,acceptable_answers,model_answer,normalized_model_answer,original_is_correct,final_is_correct,changed_after_patch
exp011_logic_019,logic,"If a number is even, it is divisible by two. Eight is even. Is eight divisible by two?",yes,['yes'],Yes.,yes,True,True,False
exp011_logic_020,logic,All flowers are plants. This object is not a plant. Can it be a flower?,no,['no'],Yes.,yes,False,False,False
exp011_causality_001,causality,Heavy rain makes roads wet. What is the cause of wet roads?,heavy rain,"['heavy rain', 'rain']",The cause of wet roads is heavy rain.,the cause of wet roads is heavy rain,True,True,False
exp011_causality_002,causality,Lack of water causes plants to wilt. What is the effect of lack of water?,wilting,"['wilting', 'wilt']",The effect of lack of water is that plants wilt.,the effect of lack of water is that plants wilt,True,True,False
exp011_causality_003,causality,Heating ice above freezing causes it to melt. What is the effect?,melting,"['melting', 'melt', 'melts']",The effect is that the ice melts.,the effect is that the ice melts,False,True,True
exp011_causality_004,causality,Pressing a light switch causes the lamp to turn on. What is the effect of pressing the switch?,lamp turns on,"['lamp turns on', 'the lamp turns on', 'turn the lamp on']",The effect of pressing the switch is to turn the lamp on.,the effect of pressing the switch is to turn the lamp on,False,True,True
exp011_causality_005,causality,A power outage causes a computer to shut down. What is the effect of a power outage?,computer shuts down,"['computer shuts down', 'the computer shuts down', 'computer to shut down']",A power outage causes a computer to shut down.,a power outage causes a computer to shut down,False,True,True
exp011_causality_006,causality,Sunlight allows a plant to make food. What is the cause that enables this process?,sunlight,"['sunlight', 'light']",Photosynthesis,photosynthesis,False,False,False
exp011_causality_007,causality,Cold temperatures cause water to freeze. What is the effect of cold temperatures?,freezing,"['freezing', 'freeze', 'freezes']",The effect of cold temperatures is that water freezes.,the effect of cold temperatures is that water freezes,False,True,True
exp011_causality_008,causality,Dropping a glass causes the glass to break. What is the effect of dropping the glass?,glass breaks,"['glass breaks', 'the glass breaks', 'it breaks']",The effect of dropping the glass is that it breaks.,the effect of dropping the glass is that it breaks,False,True,True
exp011_causality_009,causality,Strong wind makes leaves move. What is the cause of moving leaves?,strong wind,"['strong wind', 'wind']",The cause of moving leaves is strong wind.,the cause of moving leaves is strong wind,True,True,False
exp011_causality_010,causality,Eating spoiled food causes sickness. What is the effect of eating spoiled food?,sickness,"['sickness', 'becoming sick']",Eating spoiled food causes sickness.,eating spoiled food causes sickness,True,True,False
exp011_causality_011,causality,Brake failure causes a car not to stop. What is the effect of brake failure?,car does not stop,"['car does not stop', 'the car does not stop']",The effect of brake failure is that the car does not stop.,the effect of brake failure is that the car does not stop,True,True,False
exp011_causality_012,causality,Too much rain can cause flooding. What is the effect of too much rain?,flooding,"['flooding', 'flood']",Flooding.,flooding,True,True,False
exp011_causality_013,causality,A fire produces smoke. What is the cause of smoke in this case?,fire,['fire'],The cause of smoke in the case of a fire is the combustion of materials.,the cause of smoke in the case of a fire is the combustion of materials,True,True,False
exp011_causality_014,causality,Removing a battery makes a flashlight stop working. What is the effect?,flashlight stops working,"['flashlight stops working', 'stops working']",The flashlight stops working.,the flashlight stops working,True,True,False
exp011_causality_015,causality,Lack of sleep causes a person to become tired. What is the effect of lack of sleep?,tired,"['tired', 'fatigue']",Lack of sleep causes a person to become tired.,lack of sleep causes a person to become tired,True,True,False
exp011_causality_016,causality,Pressing a keyboard key makes a letter appear on a screen. What is the effect?,letter appears,"['letter appears', 'appears on screen']",The effect is that a letter appears on the screen.,the effect is that a letter appears on the screen,True,True,False
exp011_causality_017,causality,Watering dry soil causes the soil to become wet. What is the effect of watering dry soil?,soil becomes wet,"['soil becomes wet', 'the soil becomes wet', 'make it wet']",The effect of watering dry soil is to make it wet.,the effect of watering dry soil is to make it wet,False,True,True
exp011_causality_018,causality,An infection can cause a fever. What is the effect of an infection?,fever,['fever'],An infection can cause a fever.,an infection can cause a fever,True,True,False
exp011_causality_019,causality,Closing a water valve causes water flow to stop. What is the effect of closing the valve?,water flow stops,"['water flow stops', 'the water flow stops', 'stop the water flow']",The effect of closing the valve is to stop the water flow.,the effect of closing the valve is to stop the water flow,False,True,True
exp011_causality_020,causality,Rubbing hands together creates heat from friction. What is the effect of friction?,heat,['heat'],The effect of friction is to create heat.,the effect of friction is to create heat,True,True,False
exp011_analogy_001,analogy,Bird is to nest as bee is to what?,hive,['hive'],hive,hive,True,True,False
exp011_analogy_002,analogy,Knife is to cut as pen is to what?,write,"['write', 'writing']",: to write,: to write,True,True,False
exp011_analogy_003,analogy,Bird is to nest as dog is to what?,kennel,"['kennel', 'a kennel']",dog is to shelter,dog is to shelter,False,False,False
exp011_analogy_004,analogy,Hand is to glove as foot is to what?,sock,"['sock', 'socks']",foot is to shoe,foot is to shoe,False,False,False
exp011_analogy_005,analogy,Puppy is to dog as kitten is to what?,cat,['cat'],cat,cat,True,True,False
exp011_analogy_006,analogy,Book is to read as movie is to what?,watch,"['watch', 'watching']",film,film,False,False,False
exp011_analogy_007,analogy,Eye is to see as ear is to what?,hear,"['hear', 'hearing']",: hear,: hear,True,True,False
exp011_analogy_008,analogy,Wheel is to bicycle as wing is to what vehicle?,airplane,"['airplane', 'an airplane']",airplane,airplane,True,True,False
exp011_analogy_009,analogy,Teacher is to school as doctor is to what?,hospital,['hospital'],patient.,patient,False,False,False
exp011_analogy_010,analogy,Oven is to bake as refrigerator is to what?,cool,"['cool', 'cooling']",store,store,False,False,False
exp011_analogy_011,analogy,Toothbrush is to teeth as comb is to what?,hair,['hair'],Hair.,hair,True,True,False
exp011_analogy_012,analogy,Lock is to key as account is to what?,password,"['password', 'a password']",access code,access code,False,False,False
exp011_analogy_013,analogy,Cow is to calf as sheep is to what?,lamb,['lamb'],cow is to calf as sheep is to lamb.,cow is to calf as sheep is to lamb,True,True,False
exp011_analogy_014,analogy,Day is to night as hot is to what?,cold,['cold'],cold,cold,True,True,False
exp011_analogy_015,analogy,Finger is to hand as toe is to what?,foot,['foot'],foot,foot,True,True,False
exp011_analogy_016,analogy,Scissors are to cut as needle is to what?,sew,"['sew', 'sewing']",Cut.,cut,False,False,False
exp011_analogy_017,analogy,Fish is to school as sheep is to what?,flock,"['flock', 'a flock']",school of sheep,school of sheep,False,False,False
exp011_analogy_018,analogy,Author is to book as composer is to what?,song,"['song', 'a song']",performer,performer,False,False,False
exp011_analogy_019,analogy,Thermometer is to temperature as scale is to what?,weight,['weight'],unit,unit,False,False,False
exp011_analogy_020,analogy,Chef is to kitchen as pilot is to what?,cockpit,"['cockpit', 'a cockpit']",aircraft,aircraft,False,False,False
exp011_definition_001,definition,What is a word that means the opposite of another word?,antonym,['antonym'],Antonym,antonym,True,True,False
exp011_definition_002,definition,What is the term for water changing from liquid to gas?,evaporation,['evaporation'],Evaporation,evaporation,True,True,False
exp011_definition_003,definition,What is a shape with three sides called?,triangle,['triangle'],Triangle.,triangle,True,True,False
exp011_definition_004,definition,What process lets green plants use light to make food?,photosynthesis,['photosynthesis'],Photosynthesis,photosynthesis,True,True,False
exp011_definition_005,definition,What do you call a person who designs buildings?,architect,"['architect', 'an architect']",Builder,builder,False,False,False
exp011_definition_006,definition,"What is a word that names a person, place, or thing?",noun,['noun'],"A word that names a person, place, or thing is called a **noun**.","a word that names a person, place, or thing is called a **noun**",True,True,False
exp011_definition_007,definition,What is the path of one object moving around another object called?,orbit,['orbit'],Orbit,orbit,True,True,False
exp011_definition_008,definition,What is the change from a solid to a liquid called?,melting,"['melting', 'melt']",Melting,melting,True,True,False
exp011_definition_009,definition,What do you call an animal that eats plants?,herbivore,['herbivore'],Herbivore,herbivore,True,True,False
exp011_definition_010,definition,What tool measures temperature?,thermometer,['thermometer'],Thermometer,thermometer,True,True,False
exp011_definition_011,definition,What is a group of stars that forms a recognizable pattern called?,constellation,['constellation'],A group of stars that forms a recognizable pattern is called a constellation.,a group of stars that forms a recognizable pattern is called a constellation,True,True,False
exp011_definition_012,definition,What is the study of weather called?,meteorology,['meteorology'],The study of weather is called meteorology.,the study of weather is called meteorology,True,True,False
exp011_definition_013,definition,What is the study of past events called?,history,['history'],The study of past events is called history.,the study of past events is called history,True,True,False
exp011_definition_014,definition,What is a word with the same or nearly the same meaning as another word?,synonym,['synonym'],A word with the same or nearly the same meaning as another word is called a synonym.,a word with the same or nearly the same meaning as another word is called a synonym,True,True,False
exp011_definition_015,definition,What object attracts iron?,magnet,['magnet'],A magnet.,a magnet,True,True,False
exp011_definition_016,definition,What organ pumps blood through the body?,heart,['heart'],Heart,heart,True,True,False
exp011_definition_017,definition,What do you call a person who treats sick people?,doctor,"['doctor', 'physician']",A physician.,a physician,True,True,False
exp011_definition_018,definition,What tool is used to cut paper?,scissors,['scissors'],knife,knife,False,False,False
exp011_definition_019,definition,What kind of sentence asks for information?,question,"['question', 'interrogative']",A question sentence.,a question sentence,True,True,False
exp011_definition_020,definition,What is a young frog called?,tadpole,['tadpole'],A young frog is called a froglet.,a young frog is called a froglet,False,False,False
