id,group,question,expected_answer,acceptable_answers,model_answer,normalized_model_answer,strict_is_correct,audit_label,audit_reason,candidate_new_acceptable_answer,recommend_dataset_update
exp011_analogy_014,analogy,Day is to night as hot is to what?,cold,['cold'],cold,cold,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_015,analogy,Finger is to hand as toe is to what?,foot,['foot'],foot,foot,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_016,analogy,Scissors are to cut as needle is to what?,sew,"['sew', 'sewing']",Cut.,cut,False,likely_wrong,Cut is not the analogous needle function.,,False
exp011_analogy_017,analogy,Fish is to school as sheep is to what?,flock,"['flock', 'a flock']",school of sheep,school of sheep,False,partially_correct,It recognizes an animal-group relation but gives the wrong group term.,,False
exp011_analogy_018,analogy,Author is to book as composer is to what?,song,"['song', 'a song']",performer,performer,False,likely_wrong,Performer is not the analogous creator-product answer.,,False
exp011_analogy_019,analogy,Thermometer is to temperature as scale is to what?,weight,['weight'],unit,unit,False,partially_correct,A unit relates to measurement but does not name the measured quantity.,,False
exp011_analogy_020,analogy,Chef is to kitchen as pilot is to what?,cockpit,"['cockpit', 'a cockpit']",aircraft,aircraft,False,partially_correct,Aircraft is related to a pilot but is not the intended workplace.,,False
exp011_definition_001,definition,What is a word that means the opposite of another word?,antonym,['antonym'],Antonym,antonym,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_002,definition,What is the term for water changing from liquid to gas?,evaporation,['evaporation'],Evaporation,evaporation,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_003,definition,What is a shape with three sides called?,triangle,['triangle'],Triangle.,triangle,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_004,definition,What process lets green plants use light to make food?,photosynthesis,['photosynthesis'],Photosynthesis,photosynthesis,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_005,definition,What do you call a person who designs buildings?,architect,"['architect', 'an architect']",Builder,builder,False,partially_correct,Builder is related but is not conventionally equivalent to architect.,,False
exp011_definition_006,definition,"What is a word that names a person, place, or thing?",noun,['noun'],"A word that names a person, place, or thing is called a **noun**.","a word that names a person, place, or thing is called a **noun**",True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_007,definition,What is the path of one object moving around another object called?,orbit,['orbit'],Orbit,orbit,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_008,definition,What is the change from a solid to a liquid called?,melting,"['melting', 'melt']",Melting,melting,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_009,definition,What do you call an animal that eats plants?,herbivore,['herbivore'],Herbivore,herbivore,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_010,definition,What tool measures temperature?,thermometer,['thermometer'],Thermometer,thermometer,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_011,definition,What is a group of stars that forms a recognizable pattern called?,constellation,['constellation'],A group of stars that forms a recognizable pattern is called a constellation.,a group of stars that forms a recognizable pattern is called a constellation,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_012,definition,What is the study of weather called?,meteorology,['meteorology'],The study of weather is called meteorology.,the study of weather is called meteorology,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_013,definition,What is the study of past events called?,history,['history'],The study of past events is called history.,the study of past events is called history,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_014,definition,What is a word with the same or nearly the same meaning as another word?,synonym,['synonym'],A word with the same or nearly the same meaning as another word is called a synonym.,a word with the same or nearly the same meaning as another word is called a synonym,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_015,definition,What object attracts iron?,magnet,['magnet'],A magnet.,a magnet,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_016,definition,What organ pumps blood through the body?,heart,['heart'],Heart,heart,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_017,definition,What do you call a person who treats sick people?,doctor,"['doctor', 'physician']",A physician.,a physician,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_018,definition,What tool is used to cut paper?,scissors,['scissors'],knife,knife,False,likely_wrong,Knife is a different paper-cutting tool.,,False
exp011_definition_019,definition,What kind of sentence asks for information?,question,"['question', 'interrogative']",A question sentence.,a question sentence,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_definition_020,definition,What is a young frog called?,tadpole,['tadpole'],A young frog is called a froglet.,a young frog is called a froglet,False,ambiguous,"Froglet can describe a young frog, though it differs from the intended developmental term.",,False
