id,group,quality_label,ambiguity_risk,scoring_risk,difficulty,issue_types,audit_note,revised,original_question,final_question,original_expected_answer,final_expected_answer
exp011_causality_019,causality,revise,low,none,easy,acceptable_answers_too_broad,Revised: Removed context-free answers 'flow stops' and 'stops'.,true,Closing a water valve stops water flow. What is the effect of closing the valve?,Closing a water valve causes water flow to stop. What is the effect of closing the valve?,water stops,water flow stops
exp011_causality_020,causality,acceptable,none,none,medium,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Rubbing hands together creates heat from friction. What is the effect of friction?,Rubbing hands together creates heat from friction. What is the effect of friction?,heat,heat
exp011_analogy_001,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Bird is to nest as bee is to what?,Bird is to nest as bee is to what?,hive,hive
exp011_analogy_002,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Knife is to cut as pen is to what?,Knife is to cut as pen is to what?,write,write
exp011_analogy_003,analogy,revise,medium,none,easy,multiple_plausible_answers;ambiguous_analogy_relation,Revised: Replaced the air/sky ambiguity with an animal-home relation.,true,Fish is to water as bird is to what?,Bird is to nest as dog is to what?,air,kennel
exp011_analogy_004,analogy,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,Hand is to glove as foot is to what?,Hand is to glove as foot is to what?,sock,sock
exp011_analogy_005,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Puppy is to dog as kitten is to what?,Puppy is to dog as kitten is to what?,cat,cat
exp011_analogy_006,analogy,revise,medium,none,easy,multiple_plausible_answers,Revised: Replaced the listen/play/sing ambiguity with book/movie consumption.,true,Book is to read as song is to what?,Book is to read as movie is to what?,listen,watch
exp011_analogy_007,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Eye is to see as ear is to what?,Eye is to see as ear is to what?,hear,hear
exp011_analogy_008,analogy,revise,medium,none,medium,multiple_plausible_answers,Revised: Specified that the target is a vehicle to exclude bird.,true,Wheel is to car as wing is to what?,Wheel is to bicycle as wing is to what vehicle?,airplane,airplane
exp011_analogy_009,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Teacher is to school as doctor is to what?,Teacher is to school as doctor is to what?,hospital,hospital
exp011_analogy_010,analogy,revise,medium,none,easy,multiple_plausible_answers;ambiguous_analogy_relation,Revised: Replaced colony/nest ambiguity with an appliance-function relation.,true,Bee is to hive as ant is to what?,Oven is to bake as refrigerator is to what?,colony,cool
exp011_analogy_011,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Toothbrush is to teeth as comb is to what?,Toothbrush is to teeth as comb is to what?,hair,hair
exp011_analogy_012,analogy,revise,medium,none,medium,multiple_plausible_answers,Revised: Replaced several plausible sun protections with an access-control relation.,true,Rain is to umbrella as sun is to what?,Lock is to key as account is to what?,sunglasses,password
exp011_analogy_013,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Cow is to calf as sheep is to what?,Cow is to calf as sheep is to what?,lamb,lamb
exp011_analogy_014,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Day is to night as hot is to what?,Day is to night as hot is to what?,cold,cold
exp011_analogy_015,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Finger is to hand as toe is to what?,Finger is to hand as toe is to what?,foot,foot
exp011_analogy_016,analogy,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Scissors are to cut as needle is to what?,Scissors are to cut as needle is to what?,sew,sew
exp011_analogy_017,analogy,revise,medium,none,medium,multiple_plausible_answers;ambiguous_analogy_relation,Revised: Replaced galaxy/constellation ambiguity with animal groups.,true,Tree is to forest as star is to what?,Fish is to school as sheep is to what?,galaxy,flock
exp011_analogy_018,analogy,revise,medium,none,medium,multiple_plausible_answers,Revised: Replaced broad farmer products with a specific creator-product relation.,true,Baker is to bread as farmer is to what?,Author is to book as composer is to what?,crops,song
exp011_analogy_019,analogy,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,Thermometer is to temperature as scale is to what?,Thermometer is to temperature as scale is to what?,weight,weight
exp011_analogy_020,analogy,revise,medium,none,medium,multiple_plausible_answers,Revised: Replaced song/music ambiguity with a profession-workplace relation.,true,Author is to book as composer is to what?,Chef is to kitchen as pilot is to what?,music,cockpit
exp011_definition_001,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is a word that means the opposite of another word?,What is a word that means the opposite of another word?,antonym,antonym
exp011_definition_002,definition,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,What is the term for water changing from liquid to gas?,What is the term for water changing from liquid to gas?,evaporation,evaporation
exp011_definition_003,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is a shape with three sides called?,What is a shape with three sides called?,triangle,triangle
exp011_definition_004,definition,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,What process lets green plants use light to make food?,What process lets green plants use light to make food?,photosynthesis,photosynthesis
exp011_definition_005,definition,revise,medium,none,easy,multiple_plausible_answers;vague_definition,Revised: Replaced author/writer/novelist ambiguity with a specific profession.,true,What do you call a person who writes a book?,What do you call a person who designs buildings?,author,architect
exp011_definition_006,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,"What is a word that names a person, place, or thing?","What is a word that names a person, place, or thing?",noun,noun
exp011_definition_007,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is the path of one object moving around another object called?,What is the path of one object moving around another object called?,orbit,orbit
exp011_definition_008,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is the change from a solid to a liquid called?,What is the change from a solid to a liquid called?,melting,melting
exp011_definition_009,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What do you call an animal that eats plants?,What do you call an animal that eats plants?,herbivore,herbivore
exp011_definition_010,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What tool measures temperature?,What tool measures temperature?,thermometer,thermometer
exp011_definition_011,definition,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,What is a group of stars that forms a recognizable pattern called?,What is a group of stars that forms a recognizable pattern called?,constellation,constellation
exp011_definition_012,definition,revise,medium,none,medium,multiple_plausible_answers;vague_definition,Revised: Replaced democracy/republic ambiguity with a single field term.,true,What is a government in which people elect leaders called?,What is the study of weather called?,democracy,meteorology
exp011_definition_013,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is the study of past events called?,What is the study of past events called?,history,history
exp011_definition_014,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is a word with the same or nearly the same meaning as another word?,What is a word with the same or nearly the same meaning as another word?,synonym,synonym
exp011_definition_015,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What object attracts iron?,What object attracts iron?,magnet,magnet
exp011_definition_016,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What organ pumps blood through the body?,What organ pumps blood through the body?,heart,heart
exp011_definition_017,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What do you call a person who treats sick people?,What do you call a person who treats sick people?,doctor,doctor
exp011_definition_018,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What tool is used to cut paper?,What tool is used to cut paper?,scissors,scissors
exp011_definition_019,definition,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,What kind of sentence asks for information?,What kind of sentence asks for information?,question,question
exp011_definition_020,definition,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,What is a young frog called?,What is a young frog called?,tadpole,tadpole
