item_id,source_group,target_group,condition,layer,beta,strict_correct,output_token_count,empty_answer,repetition_flag,malformed_flag
exp011_analogy_019,analogy,definition,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_analogy_019,analogy,definition,NO_INTERVENTION,,0.0,False,6,False,False,False
exp011_analogy_019,analogy,definition,OPPOSITE,16,0.75,False,6,False,False,False
exp011_analogy_019,analogy,definition,TASK_REAL,16,0.75,False,8,False,False,False
exp011_analogy_020,analogy,definition,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_analogy_020,analogy,definition,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_analogy_020,analogy,definition,OPPOSITE,16,0.75,False,7,False,False,False
exp011_analogy_020,analogy,definition,TASK_REAL,16,0.75,False,7,False,False,False
exp011_causality_001,causality,logic,MATCHED_RANDOM,16,0.75,True,14,False,False,False
exp011_causality_001,causality,logic,NO_INTERVENTION,,0.0,True,14,False,False,False
exp011_causality_001,causality,logic,OPPOSITE,16,0.75,True,11,False,False,False
exp011_causality_001,causality,logic,TASK_REAL,16,0.75,True,14,False,False,False
exp011_causality_002,causality,logic,MATCHED_RANDOM,16,0.75,True,16,False,False,False
exp011_causality_002,causality,logic,NO_INTERVENTION,,0.0,True,16,False,False,False
exp011_causality_002,causality,logic,OPPOSITE,16,0.75,True,18,False,False,False
exp011_causality_002,causality,logic,TASK_REAL,16,0.75,True,16,False,False,False
exp011_causality_003,causality,logic,MATCHED_RANDOM,16,0.75,True,12,False,False,False
exp011_causality_003,causality,logic,NO_INTERVENTION,,0.0,True,13,False,False,False
exp011_causality_003,causality,logic,OPPOSITE,16,0.75,True,12,False,False,False
exp011_causality_003,causality,logic,TASK_REAL,16,0.75,True,15,False,False,False
exp011_causality_004,causality,logic,MATCHED_RANDOM,16,0.75,True,10,False,False,False
exp011_causality_004,causality,logic,NO_INTERVENTION,,0.0,True,18,False,False,False
exp011_causality_004,causality,logic,OPPOSITE,16,0.75,True,10,False,False,False
exp011_causality_004,causality,logic,TASK_REAL,16,0.75,True,18,False,False,False
exp011_causality_005,causality,logic,MATCHED_RANDOM,16,0.75,True,18,False,False,False
exp011_causality_005,causality,logic,NO_INTERVENTION,,0.0,True,15,False,False,False
exp011_causality_005,causality,logic,OPPOSITE,16,0.75,False,25,False,False,True
exp011_causality_005,causality,logic,TASK_REAL,16,0.75,True,18,False,False,False
exp011_causality_006,causality,logic,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_causality_006,causality,logic,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_causality_006,causality,logic,OPPOSITE,16,0.75,False,8,False,False,False
exp011_causality_006,causality,logic,TASK_REAL,16,0.75,True,10,False,False,False
exp011_causality_007,causality,logic,MATCHED_RANDOM,16,0.75,True,15,False,False,False
exp011_causality_007,causality,logic,NO_INTERVENTION,,0.0,True,15,False,False,False
exp011_causality_007,causality,logic,OPPOSITE,16,0.75,True,8,False,False,False
exp011_causality_007,causality,logic,TASK_REAL,16,0.75,True,15,False,False,False
exp011_causality_008,causality,logic,MATCHED_RANDOM,16,0.75,True,9,False,False,False
exp011_causality_008,causality,logic,NO_INTERVENTION,,0.0,True,16,False,False,False
exp011_causality_008,causality,logic,OPPOSITE,16,0.75,True,9,False,False,False
exp011_causality_008,causality,logic,TASK_REAL,16,0.75,True,16,False,False,False
exp011_causality_009,causality,logic,MATCHED_RANDOM,16,0.75,True,14,False,False,False
exp011_causality_009,causality,logic,NO_INTERVENTION,,0.0,True,14,False,False,False
exp011_causality_009,causality,logic,OPPOSITE,16,0.75,True,7,False,False,False
exp011_causality_009,causality,logic,TASK_REAL,16,0.75,True,14,False,False,False
exp011_causality_010,causality,logic,MATCHED_RANDOM,16,0.75,True,18,False,False,False
exp011_causality_010,causality,logic,NO_INTERVENTION,,0.0,True,12,False,False,False
exp011_causality_010,causality,logic,OPPOSITE,16,0.75,True,8,False,False,False
exp011_causality_010,causality,logic,TASK_REAL,16,0.75,True,12,False,False,False
exp011_causality_011,causality,logic,MATCHED_RANDOM,16,0.75,True,18,False,False,False
exp011_causality_011,causality,logic,NO_INTERVENTION,,0.0,True,18,False,False,False
exp011_causality_011,causality,logic,OPPOSITE,16,0.75,True,18,False,False,False
exp011_causality_011,causality,logic,TASK_REAL,16,0.75,True,18,False,False,False
exp011_causality_012,causality,logic,MATCHED_RANDOM,16,0.75,True,8,False,False,False
exp011_causality_012,causality,logic,NO_INTERVENTION,,0.0,True,8,False,False,False
exp011_causality_012,causality,logic,OPPOSITE,16,0.75,True,8,False,False,False
exp011_causality_012,causality,logic,TASK_REAL,16,0.75,True,14,False,False,False
exp011_causality_013,causality,logic,MATCHED_RANDOM,16,0.75,True,18,False,False,False
exp011_causality_013,causality,logic,NO_INTERVENTION,,0.0,True,21,False,False,True
exp011_causality_013,causality,logic,OPPOSITE,16,0.75,False,13,False,False,False
exp011_causality_013,causality,logic,TASK_REAL,16,0.75,True,13,False,False,False
exp011_causality_014,causality,logic,MATCHED_RANDOM,16,0.75,True,10,False,False,False
exp011_causality_014,causality,logic,NO_INTERVENTION,,0.0,True,10,False,False,False
exp011_causality_014,causality,logic,OPPOSITE,16,0.75,False,14,False,False,False
exp011_causality_014,causality,logic,TASK_REAL,16,0.75,True,14,False,False,False
exp011_causality_015,causality,logic,MATCHED_RANDOM,16,0.75,True,16,False,False,False
exp011_causality_015,causality,logic,NO_INTERVENTION,,0.0,True,16,False,False,False
exp011_causality_015,causality,logic,OPPOSITE,16,0.75,True,8,False,False,False
exp011_causality_015,causality,logic,TASK_REAL,16,0.75,True,18,False,False,False
exp011_causality_016,causality,logic,MATCHED_RANDOM,16,0.75,True,16,False,False,False
exp011_causality_016,causality,logic,NO_INTERVENTION,,0.0,True,16,False,False,False
exp011_causality_016,causality,logic,OPPOSITE,16,0.75,True,16,False,False,False
exp011_causality_016,causality,logic,TASK_REAL,16,0.75,False,17,False,False,False
exp011_causality_017,causality,logic,MATCHED_RANDOM,16,0.75,True,17,False,False,False
exp011_causality_017,causality,logic,NO_INTERVENTION,,0.0,True,17,False,False,False
exp011_causality_017,causality,logic,OPPOSITE,16,0.75,True,10,False,False,False
exp011_causality_017,causality,logic,TASK_REAL,16,0.75,True,18,False,False,False
exp011_causality_018,causality,logic,MATCHED_RANDOM,16,0.75,True,18,False,False,False
exp011_causality_018,causality,logic,NO_INTERVENTION,,0.0,True,12,False,False,False
exp011_causality_018,causality,logic,OPPOSITE,16,0.75,False,9,False,False,False
exp011_causality_018,causality,logic,TASK_REAL,16,0.75,True,11,False,False,False
exp011_causality_019,causality,logic,MATCHED_RANDOM,16,0.75,True,18,False,False,False
exp011_causality_019,causality,logic,NO_INTERVENTION,,0.0,True,18,False,False,False
exp011_causality_019,causality,logic,OPPOSITE,16,0.75,True,10,False,False,False
exp011_causality_019,causality,logic,TASK_REAL,16,0.75,False,14,False,False,False
exp011_causality_020,causality,logic,MATCHED_RANDOM,16,0.75,True,14,False,False,False
exp011_causality_020,causality,logic,NO_INTERVENTION,,0.0,True,14,False,False,False
exp011_causality_020,causality,logic,OPPOSITE,16,0.75,True,14,False,False,False
exp011_causality_020,causality,logic,TASK_REAL,16,0.75,True,14,False,False,False
exp011_definition_001,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_001,definition,analogy,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_definition_001,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_001,definition,analogy,TASK_REAL,16,0.75,False,7,False,False,False
exp011_definition_002,definition,analogy,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_definition_002,definition,analogy,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_definition_002,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_002,definition,analogy,TASK_REAL,16,0.75,True,11,False,False,False
exp011_definition_003,definition,analogy,MATCHED_RANDOM,16,0.75,True,6,False,False,False
exp011_definition_003,definition,analogy,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_definition_003,definition,analogy,OPPOSITE,16,0.75,True,7,False,False,False
exp011_definition_003,definition,analogy,TASK_REAL,16,0.75,True,15,False,False,False
exp011_definition_004,definition,analogy,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_definition_004,definition,analogy,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_definition_004,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_004,definition,analogy,TASK_REAL,16,0.75,True,7,False,False,False
exp011_definition_005,definition,analogy,MATCHED_RANDOM,16,0.75,False,6,False,False,False
exp011_definition_005,definition,analogy,NO_INTERVENTION,,0.0,False,6,False,False,False
exp011_definition_005,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_005,definition,analogy,TASK_REAL,16,0.75,False,15,False,False,False
exp011_definition_006,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_006,definition,analogy,NO_INTERVENTION,,0.0,True,23,False,False,True
exp011_definition_006,definition,analogy,OPPOSITE,16,0.75,True,23,False,False,True
exp011_definition_006,definition,analogy,TASK_REAL,16,0.75,True,22,False,False,False
exp011_definition_007,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_007,definition,analogy,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_definition_007,definition,analogy,OPPOSITE,16,0.75,True,7,False,False,False
exp011_definition_007,definition,analogy,TASK_REAL,16,0.75,True,21,False,False,True
exp011_definition_008,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_008,definition,analogy,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_definition_008,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_008,definition,analogy,TASK_REAL,16,0.75,False,19,False,False,True
exp011_definition_009,definition,analogy,MATCHED_RANDOM,16,0.75,True,9,False,False,False
exp011_definition_009,definition,analogy,NO_INTERVENTION,,0.0,True,9,False,False,False
exp011_definition_009,definition,analogy,OPPOSITE,16,0.75,True,10,False,False,False
exp011_definition_009,definition,analogy,TASK_REAL,16,0.75,True,10,False,False,False
exp011_definition_010,definition,analogy,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_definition_010,definition,analogy,NO_INTERVENTION,,0.0,True,8,False,False,False
exp011_definition_010,definition,analogy,OPPOSITE,16,0.75,True,9,False,False,False
exp011_definition_010,definition,analogy,TASK_REAL,16,0.75,False,7,False,False,False
exp011_definition_011,definition,analogy,MATCHED_RANDOM,16,0.75,True,19,False,False,True
exp011_definition_011,definition,analogy,NO_INTERVENTION,,0.0,True,19,False,False,True
exp011_definition_011,definition,analogy,OPPOSITE,16,0.75,True,19,False,False,True
exp011_definition_011,definition,analogy,TASK_REAL,16,0.75,True,19,False,False,True
exp011_definition_012,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_012,definition,analogy,NO_INTERVENTION,,0.0,True,14,False,False,False
exp011_definition_012,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_012,definition,analogy,TASK_REAL,16,0.75,True,14,False,False,False
exp011_definition_013,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_013,definition,analogy,NO_INTERVENTION,,0.0,True,14,False,False,False
exp011_definition_013,definition,analogy,OPPOSITE,16,0.75,False,9,False,False,False
exp011_definition_013,definition,analogy,TASK_REAL,16,0.75,False,16,False,False,False
exp011_definition_014,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_014,definition,analogy,NO_INTERVENTION,,0.0,True,23,False,False,True
exp011_definition_014,definition,analogy,OPPOSITE,16,0.75,True,24,False,False,True
exp011_definition_014,definition,analogy,TASK_REAL,16,0.75,True,23,False,False,True
exp011_definition_015,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_015,definition,analogy,NO_INTERVENTION,,0.0,True,8,False,False,False
exp011_definition_015,definition,analogy,OPPOSITE,16,0.75,True,8,False,False,False
exp011_definition_015,definition,analogy,TASK_REAL,16,0.75,True,11,False,False,False
exp011_definition_016,definition,analogy,MATCHED_RANDOM,16,0.75,True,6,False,False,False
exp011_definition_016,definition,analogy,NO_INTERVENTION,,0.0,True,6,False,False,False
exp011_definition_016,definition,analogy,OPPOSITE,16,0.75,True,6,False,False,False
exp011_definition_016,definition,analogy,TASK_REAL,16,0.75,True,17,False,False,False
exp011_definition_017,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_017,definition,analogy,NO_INTERVENTION,,0.0,True,8,False,False,False
exp011_definition_017,definition,analogy,OPPOSITE,16,0.75,False,9,False,False,False
exp011_definition_017,definition,analogy,TASK_REAL,16,0.75,True,16,False,False,False
exp011_definition_018,definition,analogy,MATCHED_RANDOM,16,0.75,False,6,False,False,False
exp011_definition_018,definition,analogy,NO_INTERVENTION,,0.0,False,6,False,False,False
exp011_definition_018,definition,analogy,OPPOSITE,16,0.75,False,9,False,False,False
exp011_definition_018,definition,analogy,TASK_REAL,16,0.75,False,8,False,False,False
exp011_definition_019,definition,analogy,MATCHED_RANDOM,16,0.75,False,9,False,False,False
exp011_definition_019,definition,analogy,NO_INTERVENTION,,0.0,True,9,False,False,False
exp011_definition_019,definition,analogy,OPPOSITE,16,0.75,True,9,False,False,False
exp011_definition_019,definition,analogy,TASK_REAL,16,0.75,True,9,False,False,False
exp011_definition_020,definition,analogy,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_definition_020,definition,analogy,NO_INTERVENTION,,0.0,False,14,False,False,False
exp011_definition_020,definition,analogy,OPPOSITE,16,0.75,False,13,False,False,False
exp011_definition_020,definition,analogy,TASK_REAL,16,0.75,True,14,False,False,False
exp011_logic_001,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_001,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_001,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_001,logic,causality,TASK_REAL,16,0.75,True,7,False,False,False
exp011_logic_002,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_002,logic,causality,NO_INTERVENTION,,0.0,True,13,False,False,False
exp011_logic_002,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_002,logic,causality,TASK_REAL,16,0.75,True,13,False,False,False
exp011_logic_003,logic,causality,MATCHED_RANDOM,16,0.75,False,8,False,False,False
exp011_logic_003,logic,causality,NO_INTERVENTION,,0.0,False,8,False,False,False
exp011_logic_003,logic,causality,OPPOSITE,16,0.75,False,8,False,False,False
exp011_logic_003,logic,causality,TASK_REAL,16,0.75,False,8,False,False,False
exp011_logic_004,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_004,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_004,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_004,logic,causality,TASK_REAL,16,0.75,True,7,False,False,False
exp011_logic_005,logic,causality,MATCHED_RANDOM,16,0.75,False,7,False,True,False
exp011_logic_005,logic,causality,NO_INTERVENTION,,0.0,False,7,False,True,False
exp011_logic_005,logic,causality,OPPOSITE,16,0.75,False,7,False,True,False
exp011_logic_005,logic,causality,TASK_REAL,16,0.75,False,7,False,True,False
exp011_logic_006,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,True,False
exp011_logic_006,logic,causality,NO_INTERVENTION,,0.0,True,7,False,True,False
exp011_logic_006,logic,causality,OPPOSITE,16,0.75,True,7,False,True,False
exp011_logic_006,logic,causality,TASK_REAL,16,0.75,True,7,False,True,False
exp011_logic_007,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_007,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_007,logic,causality,OPPOSITE,16,0.75,False,11,False,False,False
exp011_logic_007,logic,causality,TASK_REAL,16,0.75,False,7,False,True,False
exp011_logic_008,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_008,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_008,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_008,logic,causality,TASK_REAL,16,0.75,True,10,False,False,False
exp011_logic_009,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_009,logic,causality,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_logic_009,logic,causality,OPPOSITE,16,0.75,False,7,False,False,False
exp011_logic_009,logic,causality,TASK_REAL,16,0.75,False,7,False,False,False
exp011_logic_010,logic,causality,MATCHED_RANDOM,16,0.75,True,9,False,False,False
exp011_logic_010,logic,causality,NO_INTERVENTION,,0.0,True,8,False,False,False
exp011_logic_010,logic,causality,OPPOSITE,16,0.75,False,15,False,False,False
exp011_logic_010,logic,causality,TASK_REAL,16,0.75,True,8,False,False,False
exp011_logic_011,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_011,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_011,logic,causality,OPPOSITE,16,0.75,False,10,False,False,False
exp011_logic_011,logic,causality,TASK_REAL,16,0.75,True,7,False,False,False
exp011_logic_012,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_012,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_012,logic,causality,OPPOSITE,16,0.75,False,11,False,False,False
exp011_logic_012,logic,causality,TASK_REAL,16,0.75,False,7,False,True,False
exp011_logic_013,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_013,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_013,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_013,logic,causality,TASK_REAL,16,0.75,True,7,False,True,False
exp011_logic_014,logic,causality,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_logic_014,logic,causality,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_logic_014,logic,causality,OPPOSITE,16,0.75,False,7,False,False,False
exp011_logic_014,logic,causality,TASK_REAL,16,0.75,False,11,False,False,False
exp011_logic_015,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_015,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_015,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_015,logic,causality,TASK_REAL,16,0.75,True,7,False,False,False
exp011_logic_016,logic,causality,MATCHED_RANDOM,16,0.75,True,14,False,False,False
exp011_logic_016,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_016,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_016,logic,causality,TASK_REAL,16,0.75,True,7,False,False,False
exp011_logic_017,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_logic_017,logic,causality,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_logic_017,logic,causality,OPPOSITE,16,0.75,False,11,False,False,False
exp011_logic_017,logic,causality,TASK_REAL,16,0.75,True,7,False,False,False
exp011_logic_018,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,True,False
exp011_logic_018,logic,causality,NO_INTERVENTION,,0.0,True,7,False,True,False
exp011_logic_018,logic,causality,OPPOSITE,16,0.75,False,10,False,False,False
exp011_logic_018,logic,causality,TASK_REAL,16,0.75,True,7,False,True,False
exp011_logic_019,logic,causality,MATCHED_RANDOM,16,0.75,True,7,False,True,False
exp011_logic_019,logic,causality,NO_INTERVENTION,,0.0,True,7,False,True,False
exp011_logic_019,logic,causality,OPPOSITE,16,0.75,True,7,False,False,False
exp011_logic_019,logic,causality,TASK_REAL,16,0.75,True,7,False,True,False
exp011_logic_020,logic,causality,MATCHED_RANDOM,16,0.75,False,7,False,True,False
exp011_logic_020,logic,causality,NO_INTERVENTION,,0.0,False,7,False,True,False
exp011_logic_020,logic,causality,OPPOSITE,16,0.75,False,7,False,True,False
exp011_logic_020,logic,causality,TASK_REAL,16,0.75,False,7,False,True,False
